"cell_type","n","mean","sd","median","IQR","min","max"
"B lineage",1013,1527.4166,2890.0524,490.3166,1466.683,0.8467,27972.3395
"Fibroblasts",1013,889.783,814.2695,656.5578,878.4441,23.3897,7657.6086
"Monocytic lineage",1013,19.1815,13.4658,15.7562,14.4488,2.0243,114.9353
"Endothelial cells",1013,14.5413,7.7474,12.6154,8.6419,1.7323,62.4363
"Neutrophils",1013,13.5525,7.5975,12.1268,7.4271,2.1714,94.8543
"Myeloid dendritic cells",1013,6.3946,6.3329,4.4594,5.3387,0.2215,70.1823
"T cells",1013,6.3942,7.6848,3.9911,5.672,0.288,92.9978
"Cytotoxic lymphocytes",1013,6.2704,9.0419,3.6432,5.5358,0.1531,100.9539
"CD8 T cells",1013,2.3705,3.5951,1.285,2.1826,0,43.8054
"NK cells",1013,0.8181,1.5685,0.534,0.4978,0.0143,31.447
