"cell_type","n","mean","sd","median","IQR","min","max"
"Other",1013,0.7423,0.1001,0.7585,0.1099,0,0.9515
"Macrophages.M2",1013,0.0874,0.0419,0.0832,0.0528,0.0036,0.367
"Neutrophils",1013,0.0422,0.0258,0.0382,0.0232,0,0.3077
"Tregs",1013,0.0257,0.0212,0.0202,0.0195,0,0.1827
"T.cells.CD4",1013,0.0232,0.0326,0.013,0.0346,0,0.369
"Macrophages.M1",1013,0.0225,0.0228,0.0174,0.0202,0,0.1889
"B.cells",1013,0.0171,0.0195,0.0135,0.0105,0,0.3784
"T.cells.CD8",1013,0.0156,0.0229,0.0081,0.017,0,0.2036
"Dendritic.cells",1013,0.0119,0.0211,0.0076,0.0148,0,0.4668
"NK.cells",1013,0.0102,0.0072,0.0091,0.0069,0,0.0912
"Monocytes",1013,0.002,0.0068,0,0,0,0.061
