"cell_type","n","mean","sd","median","IQR","min","max"
"Epithelial cells",1013,0.4751,0.0829,0.4786,0.1012,0,0.7153
"HSC",1013,0.1898,0.1293,0.1719,0.177,0,0.7582
"MSC",1013,0.18,0.1327,0.1714,0.1785,0,0.9089
"Th2 cells",1013,0.1621,0.1615,0.1132,0.2107,0,0.9615
"MicroenvironmentScore",1013,0.1485,0.1379,0.104,0.1276,0.0042,1.5042
"Basophils",1013,0.1411,0.0939,0.1513,0.1537,0,0.485
"Smooth muscle",1013,0.141,0.0935,0.1446,0.141,0,0.4991
"aDC",1013,0.116,0.0871,0.1016,0.1257,0,0.4511
"MEP",1013,0.1068,0.0363,0.1043,0.0499,0,0.2467
"iDC",1013,0.0981,0.1565,0.0471,0.1084,0,1.4844
"ImmuneScore",1013,0.0815,0.1147,0.0428,0.0695,0,1.4077
"NKT",1013,0.076,0.0566,0.068,0.0739,0,0.3458
"Astrocytes",1013,0.0721,0.0671,0.0617,0.115,0,0.3155
"StromaScore",1013,0.067,0.0691,0.0416,0.0712,0,0.4454
"Pericytes",1013,0.0606,0.0596,0.0476,0.0833,0,0.3981
"Th1 cells",1013,0.0588,0.0486,0.0497,0.0634,0,0.2597
"Keratinocytes",1013,0.0583,0.0379,0.0487,0.0382,0,0.3652
"Endothelial cells",1013,0.0528,0.0515,0.0371,0.0606,0,0.3754
"cDC",1013,0.0482,0.081,0.0197,0.0506,0,0.8923
"Chondrocytes",1013,0.0463,0.0377,0.0424,0.0602,0,0.1879
"Macrophages M1",1013,0.0454,0.034,0.0367,0.0399,0,0.2218
"Macrophages",1013,0.0423,0.04,0.0314,0.05,0,0.3385
"Fibroblasts",1013,0.0422,0.0475,0.0275,0.0678,0,0.3087
"Adipocytes",1013,0.039,0.0666,0.0099,0.0376,0,0.3918
"mv Endothelial cells",1013,0.0384,0.0331,0.0305,0.0396,0,0.2295
"Mesangial cells",1013,0.0336,0.0262,0.0303,0.0373,0,0.1483
"Class-switched memory B-cells",1013,0.0331,0.0377,0.023,0.0427,0,0.3473
"Macrophages M2",1013,0.0318,0.0249,0.0258,0.0284,0,0.2119
"B-cells",1013,0.0308,0.0883,0,0.022,0,1.1578
"CLP",1013,0.0291,0.02,0.0265,0.0274,0,0.1093
"pro B-cells",1013,0.0284,0.0422,0.0101,0.042,0,0.3591
"Osteoblast",1013,0.0276,0.0303,0.0177,0.0478,0,0.1396
"Sebocytes",1013,0.0275,0.0226,0.0218,0.0184,0,0.1851
"ly Endothelial cells",1013,0.0246,0.0303,0.0144,0.0293,0,0.2854
"CD4+ Tem",1013,0.0212,0.0402,0,0.0278,0,0.3287
"CD8+ Tcm",1013,0.0212,0.0512,0,0.0146,0,0.4718
"GMP",1013,0.0187,0.0336,0,0.0264,0,0.2443
"pDC",1013,0.0168,0.0392,0,0.0115,0,0.3099
"Plasma cells",1013,0.0151,0.0189,0.0099,0.0173,0,0.17
"DC",1013,0.0135,0.0246,0.0039,0.0173,0,0.2442
"CD8+ T-cells",1013,0.0134,0.0373,0,0.002,0,0.4502
"Melanocytes",1013,0.0128,0.0103,0.0102,0.0099,0,0.0772
"Mast cells",1013,0.0126,0.0093,0.0114,0.0117,0,0.074
"Preadipocytes",1013,0.0113,0.0242,0,0.0115,0,0.2142
"CD8+ naive T-cells",1013,0.011,0.012,0.0082,0.0175,0,0.0948
"Tregs",1013,0.0106,0.0242,0,0.0095,0,0.2576
"Myocytes",1013,0.0087,0.0126,0.006,0.0096,0,0.2552
"Neurons",1013,0.0079,0.0137,0.0037,0.0062,0,0.1355
"Memory B-cells",1013,0.0076,0.0345,0,0,0,0.4565
"CMP",1013,0.0069,0.0125,0,0.0093,0,0.114
"Megakaryocytes",1013,0.0063,0.0098,0.0021,0.0083,0,0.0791
"CD4+ naive T-cells",1013,0.0061,0.0235,0,0,0,0.2683
"CD4+ memory T-cells",1013,0.0058,0.0224,0,6e-04,0,0.3936
"Monocytes",1013,0.0049,0.0152,0,0,0,0.1725
"CD4+ Tcm",1013,0.0048,0.0118,0,0.0015,0,0.1169
"CD8+ Tem",1013,0.0033,0.0149,0,0,0,0.172
"Hepatocytes",1013,0.003,0.0028,0.0026,0.0047,0,0.0137
"CD4+ T-cells",1013,0.0018,0.0109,0,0,0,0.176
"Skeletal muscle",1013,0.0018,0.0105,0,0.0017,0,0.3172
"Eosinophils",1013,0.0017,0.0047,0,0,0,0.0535
"naive B-cells",1013,0.0016,0.0105,0,0,0,0.1652
"Platelets",1013,0.0012,0.0051,0,0,0,0.0746
"NK cells",1013,6e-04,0.004,0,0,0,0.06
"Neutrophils",1013,6e-04,0.0026,0,0,0,0.0578
"Tgd cells",1013,4e-04,0.003,0,0,0,0.0556
"Erythrocytes",1013,3e-04,0.001,0,0,0,0.0106
"MPP",1013,2e-04,0.0019,0,0,0,0.0287
