"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"GZMH",258.228535342981,4.43345285206458,0.211383431429246,1.18228419379108e-98,1.58900290102035e-94,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GZMA",673.86660253602,4.24801897737973,0.202971726103675,1.76840788049674e-98,1.58900290102035e-94,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GZMB",748.125905549388,4.50229481892853,0.223483224507886,1.76904675118998e-91,1.05971797218783e-87,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD8A",1378.80042356345,3.97907796268661,0.198319167059809,8.87267189446445e-91,3.98626966538551e-87,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"TBX21",145.8043043052,3.9193647458937,0.207072791001552,1.91613517419821e-81,6.88697304310319e-78,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"FASLG",166.443073047557,4.7236985814823,0.250056478903085,8.4576696383993e-81,2.53321301786123e-77,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"SLA2",337.878769516985,3.90007814147392,0.211986990981652,9.2266020011919e-77,2.368732350906e-73,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF6",572.456969908365,4.12501919801394,0.232195828778083,9.18766501954672e-72,2.06389410082843e-68,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GBP5",5246.8522064429,4.69733629401609,0.267631475942658,3.62201651627264e-70,7.23236209043729e-67,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"SIT1",267.291476633069,3.76487507505594,0.215213947352268,1.1032801942487e-69,1.98270483708434e-66,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"IFNG",84.0416156094176,5.49699927884635,0.314140040965876,1.73175551612e-69,2.59344819834938e-66,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D1A",345.539579899662,4.4780624936772,0.256249831848759,1.67631251070775e-69,2.59344819834938e-66,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"NKG7",947.598611282569,3.85614518342073,0.221396723508973,3.68920748619631e-69,5.09990367187953e-66,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF683",290.019752089702,4.24068530576339,0.249453509759386,5.17271163888348e-66,6.6399143473125e-63,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"SIRPG",300.425956711054,4.09282786401006,0.244237085015768,3.09318596537094e-64,3.70584299891207e-61,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CRTAM",132.355942627875,3.67575230535698,0.21992810718217,8.13969941518741e-64,8.61481921462669e-61,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD3E",1812.32264619547,4.02534190586485,0.24101169735427,8.14934765169738e-64,8.61481921462669e-61,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD3D",665.294499084223,3.95677354593984,0.237770865629933,2.28385523182483e-63,2.28017568728467e-60,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GBP4",5504.1716352989,3.67293209782482,0.22182366362645,1.04552306954648e-62,9.88899741201044e-60,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CCL5",5398.86988650633,3.56922158041084,0.21570643740275,1.17873144410138e-62,1.0591491390973e-59,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD27",244.381370940906,3.51848612126673,0.213874601192506,1.32264782462934e-61,1.13187162173399e-58,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD2",1665.63752188799,3.85952357898738,0.236510537000408,4.73244683549567e-61,3.86576373094058e-58,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"PRF1",839.880636014053,3.49176517898915,0.216323856150531,8.11723744712654e-60,6.34238583314396e-57,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"TRBC2",1663.39597271881,3.98572646278907,0.248743934376753,5.66324005663599e-59,4.24058696074189e-56,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"PDCD1",269.461149468583,3.90103115430364,0.243907992351888,1.02458446590021e-58,7.36512297467708e-56,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"LINC02446",126.427556744676,5.37463100774466,0.337088905915716,2.09866153935873e-58,1.45057871245445e-55,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CXCR3",470.465848108099,3.87675779585436,0.245350459232216,2.33965769194248e-57,1.5572588289592e-54,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"GZMK",150.197526409134,4.53391338703003,0.287404316519187,4.39520314985765e-57,2.82093556450328e-54,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"ICAM3",96.9524200075636,3.33054853094845,0.211347948205944,5.95941011027295e-57,3.69298479626604e-54,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"ITGAL",1891.60776449173,3.29733811749189,0.209843202040429,7.24352707751656e-57,4.19914274548549e-54,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"CD3G",454.592230322194,3.9621288922696,0.251997778197684,7.13261995603311e-57,4.19914274548549e-54,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"TRAC",2784.18860421498,3.53414829161438,0.225961990023967,2.78129924009879e-56,1.56196027011923e-53,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
"P2RY10",445.608248437285,3.82581169079766,0.244494205965099,4.07601724459849e-56,2.21970017886907e-53,"Basal","High_Q4_vs_Low_Q1","UP",TRUE
