"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"IL2RB",1729.971090541,3.37715371206121,0.225240738085965,5.23563192345117e-52,9.43565585244369e-48,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD96",728.131900768865,3.61858563750121,0.245017884015558,1.44806966094178e-50,1.30485557147464e-46,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PTPN7",898.089832978229,3.31096338592596,0.225963368253803,8.73776773973973e-50,5.24906834018632e-46,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TIGIT",666.026427041944,3.74117045522013,0.255851040312666,1.32906988960951e-49,5.98812438763565e-46,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SIRPG",251.728745090098,3.94143929686025,0.270428974114185,2.74540935212089e-49,9.89555346878452e-46,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CTSW",541.033646057072,3.961804234765,0.276061107267583,6.25875286493023e-48,1.87992073552954e-44,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD5",717.338202123288,3.63350712970303,0.254527788069685,1.66282576524944e-47,4.28106370590364e-44,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PYHIN1",188.646324673147,3.83260426501781,0.268179453192925,2.41069691069607e-47,5.43069746557057e-44,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ITK",489.042293317728,3.82533097406702,0.270323805997321,1.23132329114932e-46,2.46565648367701e-43,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GFI1",153.731934504797,3.17396477143416,0.227246297968434,1.99587939818569e-45,3.59697385141025e-42,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CXCR3",521.385626540915,3.99910466184333,0.28715953535939,2.75903580780033e-45,4.52030393892523e-42,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD3E",1678.86749909717,3.75829199360097,0.270775190568424,4.91196642246827e-45,7.37695490547694e-42,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD3G",397.864126818541,3.65032881771097,0.264834974225099,2.28873465338113e-44,3.17289045563344e-41,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD8A",1258.08011886234,3.84184411633202,0.280889886360009,7.37519298011058e-44,9.49398056339663e-41,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF6",541.452536423337,3.9190879010606,0.287114006836863,1.38792012139809e-43,1.66753976185576e-40,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D1A",345.221091359887,4.24172489958208,0.31189560093381,2.81884363168233e-43,3.17507499563618e-40,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAC",2658.1724413128,3.13702030679955,0.234606574970233,6.83693686163431e-42,7.2479574188455e-39,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
