"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"CCL5",2705.56057515732,3.5469593219504,0.104086854382773,1.43133248666859e-255,2.58341200518814e-251,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"NKG7",482.750202808962,3.78090413503914,0.113612760203199,4.70624950606115e-244,4.24715486674489e-240,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD247",428.952304250395,3.62542739581739,0.112276789815343,5.60358556145514e-230,3.3713038599568e-226,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GZMK",176.590053950514,4.43932784570788,0.138739892838674,8.87066154797966e-226,4.00266425698712e-222,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD2",1173.37360890181,3.64186936428498,0.115818068634215,2.93683888771704e-218,1.0601401016881e-214,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GZMA",471.168117979663,3.59804363847314,0.114499092257912,6.50291904469351e-218,1.95618643062789e-214,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD8A",1010.53724796318,3.46799487752992,0.110445233642649,1.21247124912217e-217,3.12627051077229e-214,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PRF1",366.515844612917,3.33174470456551,0.10630996267021,8.54483853525803e-217,1.9278223840359e-213,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD3D",499.251599006259,3.9027449911727,0.125056978728414,5.20665136350862e-215,1.04416500511074e-211,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TBX21",89.7938541807519,3.74607536244457,0.120798430140499,1.81775291678176e-212,3.2808622394994e-209,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD96",584.241537170609,3.59814161685311,0.117656186105794,1.56997211457309e-206,2.57603879053906e-203,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SLA2",202.631256760675,3.37821679284231,0.110591665689123,4.61781700108483e-206,6.94558158771501e-203,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LCK",734.074557638858,3.72692466085223,0.122178235925543,1.01314269849661e-205,1.40663173578195e-202,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D1A",252.698365075969,4.17870021265999,0.137885843911497,8.73902715699307e-203,1.12664786540406e-199,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PYHIN1",164.675242176606,3.85174359354575,0.127200812388788,1.77049802072628e-202,2.13038125173925e-199,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD3G",321.018886288129,3.71383600679607,0.124426946763483,3.61379778042315e-197,4.07658975867859e-194,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD3E",1395.22701622948,3.82114218072416,0.128296137476312,3.43794627661091e-196,3.65008778509119e-193,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF6",427.118964996519,3.97230169528747,0.133793515450506,7.45773286617236e-195,7.47803447230806e-192,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CXCR3",352.807439346994,3.63792425936026,0.122973982415171,1.62836626375357e-193,1.54686224707832e-190,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRBC1",793.998275862377,3.95496714254943,0.134083283866729,1.9157804625906e-192,1.72889607846489e-189,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRBC2",1334.44364873176,3.82295711569597,0.130532528070794,8.08824953386124e-190,6.95165789698388e-187,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SPOCK2",2157.08713926792,3.23187322208814,0.110556519608745,8.7524700324097e-189,7.1806059824983e-186,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD8B",249.058152014216,3.87402020619129,0.13296923227236,8.75106554695413e-188,6.86730356769457e-185,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SIT1",204.845616081547,3.80570463776689,0.13261702664319,2.54705420554824e-182,1.91549088983084e-179,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SIRPG",178.033720303426,3.96144879043106,0.138341354731964,1.58076716224578e-181,1.14125066045497e-178,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CXCL9",6673.19195996096,4.58040586350273,0.163012306326738,7.80497350790281e-175,5.41815257092838e-172,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LY9",245.803967958878,3.77413158657611,0.13465577052214,4.40423018106101e-174,2.94414631622112e-171,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRAT1",126.647691792796,4.31691466091764,0.15454283979382,7.96808432558509e-173,5.13628407116019e-170,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD5",607.112192181562,3.53464086250781,0.126623078644288,1.0247626360353e-172,6.377910626828e-170,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"UBASH3A",153.907842525612,3.60921296038799,0.129740348606455,1.56048545003404e-171,9.38840062922147e-169,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ITK",471.394390728227,3.8432860073288,0.138298564413885,3.7777809472728e-171,2.19952155862345e-168,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GZMB",187.365098492903,4.13842006244655,0.149117008618243,1.01433797823608e-170,5.72118317786966e-168,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD6",764.837617815516,3.14998475560706,0.114172031065167,9.91097060677408e-169,5.42070025702017e-166,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"EOMES",209.554161092091,3.95545040090018,0.143329867106921,1.17641403750807e-168,6.24502851852447e-166,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"S1PR4",179.813204964782,3.63669756573498,0.135561516416454,8.49699083141959e-160,4.38177678617978e-157,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SCML4",145.945813073488,3.97091839312401,0.148099104394041,1.53552360221687e-159,7.69851819344785e-157,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD7",363.391547231851,3.41878041091074,0.127970571389144,1.73277887906429e-158,8.452682699522e-156,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ZNF831",185.202755697184,4.11986779276857,0.15485112068896,3.79589235086091e-157,1.80294897475496e-154,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TIGIT",489.420689104065,3.84455585286342,0.144669667683974,7.40866367562805e-157,3.42869155593361e-154,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF1",236.687916739451,3.60774985853935,0.136200956301859,9.28671955266994e-156,4.1904000301535e-153,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD48",437.178854513671,2.89168352915689,0.109807167861244,6.07457965513176e-154,2.67414849257252e-151,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCR7",596.80482641869,3.76558036985526,0.143243319345804,1.6207499895147e-153,6.96498013351211e-151,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ZAP70",451.613732132823,3.57828184799368,0.136195810184112,2.23797085023138e-153,9.39375252926189e-151,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SAMD3",83.2845879185001,3.23041582667734,0.122926111760361,2.4165186318851e-153,9.91266926974869e-151,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GPR174",287.108790825133,3.90866070411647,0.148894965793287,4.74006834457037e-153,1.90118874558112e-150,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"FCRL3",197.419912381135,4.89834474216226,0.187058721215907,2.43902594170452e-152,9.56999548300539e-150,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GZMH",146.034322273306,3.26546853460842,0.125682534648093,6.62952058324817e-151,2.54587695759673e-148,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GZMM",157.702717452723,4.00705515482555,0.153929255275124,1.50451878968584e-150,5.65730409063327e-148,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV20-1",64.2466661983601,3.83094312903055,0.147383029876147,6.06616473522432e-150,2.23445321032783e-147,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CTSW",378.320916344929,3.35937468656063,0.129400740076135,7.90941241563687e-150,2.8551396937966e-147,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PRKCQ",153.665414744352,3.12491935427674,0.121597402375445,7.08769491453816e-147,2.50834912769606e-144,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"FASLG",70.6110624547693,3.17683756351911,0.123520951646304,8.02188255779874e-147,2.78436458241749e-144,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"BTLA",115.119025870538,4.19404021974955,0.164374279977938,9.48284886532631e-145,3.22935734283537e-142,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LINC00861",165.952809889636,4.16172580146805,0.163419317072762,2.66839520253875e-144,8.91886389085589e-142,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRAC",2172.15701005902,3.01571039349023,0.118439304102449,6.39251477571185e-144,2.09779089430588e-141,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRG-AS1",118.162882029967,2.74914541819149,0.108501053061522,7.13988893494721e-143,2.30121170333683e-140,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"C16orf54",282.802026715511,3.08836264758055,0.121990317354357,1.53045834576059e-142,4.84618292677768e-140,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IL2RG",567.651593205887,3.10626475231618,0.122748613369253,1.57843320648029e-142,4.91192085237289e-140,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCR5",736.305760123874,2.53589187722155,0.100194288045163,2.28208276365205e-142,6.98123928833151e-140,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"THEMIS",150.398924106528,2.8201658059981,0.140799521702325,1.99982291733527e-138,6.01580063916405e-136,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"JAML",660.935946287806,2.73416407608711,0.110049000536269,1.40934747456258e-137,4.17005124071802e-135,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SPIB",156.106040174796,4.48072064455509,0.180375030077972,1.87476959383145e-137,5.45769619339739e-135,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"XCL2",36.0684496428646,3.53616085303114,0.142257475832365,2.50216450383236e-137,7.16850271899527e-135,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV7-9",39.3516594584673,3.75705397095553,0.151445842554422,9.42848763361358e-137,2.6589808327983e-134,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"KLRB1",136.077574100253,3.16362519144978,0.127465945283571,5.42166593322061e-136,1.50547151428767e-133,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GBP5",1084.14540199546,3.25043435798916,0.131602229577066,6.50332552136036e-136,1.77846245962172e-133,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD27",212.112015845944,3.16643312852907,0.129063242261851,3.70920204188533e-134,9.99214741104304e-132,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PTPN7",657.912439487769,2.57606894291804,0.105163007751478,1.30190229178875e-133,3.45559330360224e-131,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PDCD1",138.553977524928,3.65783198774001,0.149391720736441,1.50810016119719e-133,3.93452444899206e-131,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TAF5LP1",63.1962563838622,3.13744874284993,0.128096916429197,1.52593889650088e-133,3.93452444899206e-131,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
