"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"NKG7",525.779954714742,3.98003510227252,0.182759844792849,2.41604036020936e-106,4.36820097125852e-102,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD247",348.575657394453,3.42611554633986,0.167711336969311,7.45952215352351e-94,6.74340802678525e-90,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SLA2",224.57013681584,3.47261115680265,0.173908950141111,7.58266122443121e-90,4.56981716459055e-86,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD2",1150.25527596077,3.51759025607336,0.177004036922268,3.29086564693921e-89,1.48747127241652e-85,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PYHIN1",155.050090114552,3.77096057392719,0.190161960453623,1.67128439280777e-88,6.04336436439289e-85,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD8A",1022.59431848766,3.50121609762566,0.177483192837048,7.10769563059993e-88,2.14178561668744e-84,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD3E",1151.64097189828,3.61756219696135,0.184117901549092,3.67086505051164e-87,9.48132001617865e-84,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TBX21",93.0130767161161,3.90296523391572,0.200171456562381,7.19053105944986e-86,1.44449779505393e-82,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD3D",392.464683463685,3.6116442555939,0.185194885537048,6.64301829005953e-86,1.44449779505393e-82,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CXCR3",331.336809736194,3.63972134365528,0.187079155116355,1.63591486022311e-85,2.95773406728338e-82,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CTSW",323.871032489172,3.73638443270023,0.192560275262986,3.04019913724114e-85,4.99698185466543e-82,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LCK",605.232566004129,3.42274771996751,0.17701461196666,1.73422002001128e-84,2.612891496817e-81,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D1A",234.238446417812,4.02272744679789,0.208894157712562,9.85803459195527e-84,1.37102511863501e-80,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SIRPG",179.646192543458,4.02418713698881,0.210015577388644,6.77785181227258e-83,8.75311148327773e-80,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SLAMF6",412.714011743904,3.90650548088131,0.206001860669421,2.36839843660862e-81,2.85470958225892e-78,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD5",473.313182372549,3.20447349571279,0.169761445367977,1.28804778128896e-80,1.45549399285652e-77,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CCL5",2892.4000245645,3.40682973100671,0.181282872532717,3.49331551279649e-80,3.71524379243297e-77,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
