"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"ZC3H12D",180.214242098716,2.18504870629016,0.284123892118187,1.2571229543616e-15,1.3660494804328e-11,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV5-1",55.3611783505782,2.54639643854833,0.332336486096715,1.51186927168701e-15,1.3660494804328e-11,"Normal","IC1_vs_IC2","UP",TRUE
"PARP15",257.96438113334,2.56556955051368,0.346474606046255,1.15222163303425e-14,6.94059904352066e-11,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV8-2",25.3437496985728,2.72476635381068,0.370655693705249,1.6615846077047e-14,7.50662386145789e-11,"Normal","IC1_vs_IC2","UP",TRUE
"STAT4",240.969933744024,1.48311672044342,0.203774741705162,2.84359172019702e-14,1.02773091951361e-10,"Normal","IC1_vs_IC2","UP",TRUE
"JAML",981.573331671607,1.64803416188426,0.231749159580069,9.37833325338057e-14,2.824597670364e-10,"Normal","IC1_vs_IC2","UP",TRUE
"GRAP2",300.608426210372,1.60955640930753,0.228766478279185,1.66374814433273e-13,4.23423442639854e-10,"Normal","IC1_vs_IC2","UP",TRUE
"AKNA",2966.68779335,1.28414315176087,0.183719027130454,2.32976922318551e-13,4.23423442639854e-10,"Normal","IC1_vs_IC2","UP",TRUE
"ZNF831",221.216603398279,2.39789331718563,0.34205792077753,2.01266150195364e-13,4.23423442639854e-10,"Normal","IC1_vs_IC2","UP",TRUE
"PRKCB",946.868048201552,2.24867871469377,0.321892171764623,2.34311019113416e-13,4.23423442639854e-10,"Normal","IC1_vs_IC2","UP",TRUE
"KCNJ10",51.8910308085867,2.46204060348765,0.357346428281156,4.28299355770777e-13,7.03617968921246e-10,"Normal","IC1_vs_IC2","UP",TRUE
"IKZF3",1493.96226116993,2.33177590439623,0.339538663865828,5.56692327081548e-13,7.97019351813753e-10,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV2",16.2802326817278,2.88341633397446,0.420362031091705,5.73363487000099e-13,7.97019351813753e-10,"Normal","IC1_vs_IC2","UP",TRUE
"BANK1",415.436552096547,2.98900274197273,0.435125393534328,6.55318496108057e-13,8.45875753083478e-10,"Normal","IC1_vs_IC2","UP",TRUE
"CR1",221.420530660684,2.46925774262764,0.362061889065721,7.67027370878427e-13,9.24063441276271e-10,"Normal","IC1_vs_IC2","UP",TRUE
"LINC00426",81.4658225635574,1.89327017887836,0.278506397827517,8.60494163691897e-13,9.71874377004767e-10,"Normal","IC1_vs_IC2","UP",TRUE
"SLFN12L",47.2391402767631,1.78707465138707,0.264355235952688,1.10134794776696e-12,1.17073286847628e-09,"Normal","IC1_vs_IC2","UP",TRUE
"ARHGAP25",1234.75915284142,1.20027880918289,0.178526844291363,1.58346725818891e-12,1.58971315681843e-09,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV8-3",22.352199396231,2.49726866159235,0.37489070659946,2.35969226922025e-12,2.24431573668838e-09,"Normal","IC1_vs_IC2","UP",TRUE
"ITK",571.886911954541,2.12225442569565,0.319776727991342,2.62075663138759e-12,2.25522348027644e-09,"Normal","IC1_vs_IC2","UP",TRUE
"IKZF1",1481.24580519761,1.6631672550426,0.25054364109332,2.57455304132076e-12,2.25522348027644e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD3G",362.020697768308,2.09190236753824,0.316850562400372,3.34247951885594e-12,2.62617162544546e-09,"Normal","IC1_vs_IC2","UP",TRUE
"SAMD9L",2415.46758256516,1.54023772777812,0.232902042374253,3.31549433846702e-12,2.62617162544546e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CR2",724.31350748855,4.61437682004431,0.694847355222941,3.67075166525651e-12,2.7639230559521e-09,"Normal","IC1_vs_IC2","UP",TRUE
"TRAF1",1154.69052913864,1.37300412101961,0.211530046895407,6.50274689413689e-12,4.46738584734121e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD48",553.39535921002,1.99839314275772,0.307746724748669,6.67475058813639e-12,4.46738584734121e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD5",702.033568579374,2.21561423633548,0.341220188321532,6.9634593767096e-12,4.49416694273283e-09,"Normal","IC1_vs_IC2","UP",TRUE
"ITGAL",1742.01750949831,1.77595842213029,0.274267636341187,7.42376521111158e-12,4.62602969413784e-09,"Normal","IC1_vs_IC2","UP",TRUE
"SLAMF6",504.678300626872,2.21772018430291,0.34268147804473,7.90960354878282e-12,4.76448152433515e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD6",914.327265575278,2.09870705620425,0.326473458446915,1.05471401500807e-11,6.14830224684219e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD37",1976.23585812891,2.00731864612947,0.312661058350439,1.125604186708e-11,6.16387674484858e-09,"Normal","IC1_vs_IC2","UP",TRUE
"LY9",311.992448437248,2.12800139895497,0.331417632160962,1.11210588723958e-11,6.16387674484858e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CD96",662.610549139311,1.78889443720671,0.278909057773803,1.17381453135274e-11,6.2388242341398e-09,"Normal","IC1_vs_IC2","UP",TRUE
"SLA2",246.512798695992,1.95278561028371,0.305042820837367,1.22774531019714e-11,6.33902442873503e-09,"Normal","IC1_vs_IC2","UP",TRUE
"CLEC2D",746.316951125587,1.39324309765472,0.217592117681475,1.29991086500079e-11,6.52519145595257e-09,"Normal","IC1_vs_IC2","UP",TRUE
"GBP1",4363.18261877556,1.62762984436235,0.25465063799407,1.37423548786862e-11,6.71184040574969e-09,"Normal","IC1_vs_IC2","UP",TRUE
"P2RY10",413.668045649531,2.33393010582475,0.366032318578902,1.5021792987806e-11,6.96048259186264e-09,"Normal","IC1_vs_IC2","UP",TRUE
"NLRC3",490.649406333621,1.58292469980871,0.248171736377665,1.49902535190797e-11,6.96048259186264e-09,"Normal","IC1_vs_IC2","UP",TRUE
