"gene","log2FoldChange","padj","direction","category"
"PDCD1LG2",1.45605369310936,6.22550190913144e-08,"UP","Checkpoint"
"TIGIT",2.26160283101497,4.21535247855295e-07,"UP","Checkpoint"
"PDCD1",1.85704747886528,1.03567910207513e-05,"UP","Checkpoint"
"IDO1",1.98187223140024,2.49416790685037e-05,"UP","Checkpoint"
"LAG3",1.6248095048388,2.92579840321558e-05,"UP","Checkpoint"
"CTLA4",1.71999792866678,0.000297293454605075,"UP","Checkpoint"
"CD274",1.25586322556737,0.00149281938349597,"UP","Checkpoint"
"CD8A",1.79993896355945,1.68719845281188e-08,"UP","CD8_effector"
"CD8B",1.72858544940894,3.00637431527562e-08,"UP","CD8_effector"
"EOMES",2.19734944383484,1.03980255597718e-07,"UP","CD8_effector"
"TBX21",1.73472397482795,3.99800716698598e-07,"UP","CD8_effector"
"IFNG",2.32113492093985,3.46008178954427e-05,"UP","CD8_effector"
"GZMB",1.36584266325604,0.00896861289131161,"UP","CD8_effector"
"FOXP3",1.52610193228911,4.78732790231645e-06,"UP","Treg_markers"
"IL2RA",1.77103377452418,4.84515392974233e-05,"UP","Treg_markers"
"CTLA4",1.71999792866678,0.000297293454605075,"UP","Treg_markers"
"MS4A1",3.67282611408121,8.48555473438895e-08,"UP","B_cell"
"CD79A",2.6535983042735,7.38782163328539e-07,"UP","B_cell"
"CD19",3.19743883307592,7.93657987136372e-07,"UP","B_cell"
"IGHG1",2.83618741222441,3.4145462765796e-06,"UP","B_cell"
"IGHG4",2.99346536814965,2.32583646927153e-05,"UP","B_cell"
"CD79B",1.60989204644893,0.00112084172095135,"UP","B_cell"
"LAMP3",1.71705854898624,6.402670348991e-06,"UP","Dendritic"
"IDO1",1.98187223140024,2.49416790685037e-05,"UP","Dendritic"
"ITGAM",1.32607715414307,0.000158623293321844,"UP","Dendritic"
"ITGAX",1.33983445095185,0.00141228446014479,"UP","Dendritic"
"CCL17",1.25474497996917,0.0176531147833818,"UP","Dendritic"
"GZMK",1.89499551655147,2.49416790685037e-05,"UP","NK_cell"
"XCL2",1.4136555400589,0.000162038023825875,"UP","NK_cell"
"NKG7",1.12139034623787,0.00894135990015602,"UP","NK_cell"
"MRC1",-1.50009534778864,4.84485970640782e-05,"DOWN","Macrophage"
"CD80",1.57462717657498,0.000133538291198668,"UP","Macrophage"
"CD163",1.41870797151652,0.000717038342028425,"UP","Macrophage"
"CD86",1.13544822279242,0.000859135943849085,"UP","Macrophage"
