"gene","n_subtypes","subtypes_list","mean_lfc"
"CYP2A6",5,"Basal+Her2+LumA+LumB+Normal",-3.0464895722338
"FAM135B",4,"Basal+Her2+LumA+Normal",-3.50900650213348
"STC2",4,"Her2+LumA+LumB+Normal",-1.46061221507119
"TMEM145",4,"Basal+Her2+LumA+Normal",-1.34958724277729
"TRH",3,"LumA+LumB+Normal",-4.20021368890013
"PTPRZ1",3,"Basal+LumB+Normal",-2.50756287510687
"PIANP",3,"Basal+Her2+Normal",-2.42512792221782
"SCGB3A1",3,"Basal+Her2+Normal",-2.40014164494127
"CPB1",3,"Basal+LumA+LumB",-2.3175361300733
"OPCML",3,"Basal+Her2+LumB",-2.25506768136183
"PHF21B",3,"Her2+LumA+Normal",-2.17555763654292
"CHRNB2",3,"Her2+LumA+Normal",-2.10271349130907
"INSYN2A",3,"LumA+LumB+Normal",-2.06889389778041
"MEGF10",3,"Her2+LumB+Normal",-1.75936402210912
"LINC01929",3,"Basal+Her2+LumA",-1.72989089121538
"HIF1A-AS3",3,"Basal+Her2+LumA",-1.72033309137565
"NPY1R",3,"Basal+LumA+Normal",-1.70906013699264
"SYT13",3,"Basal+Her2+LumA",-1.67116425564446
"RIMS4",3,"Basal+LumA+Normal",-1.61545608277316
"AGTR1",3,"Her2+LumA+LumB",-1.55276740696135
"SEZ6L",3,"LumA+LumB+Normal",-1.52376544634082
"BMPR1B",3,"Her2+LumA+LumB",-1.5235556401481
"PTPRT-DT",3,"LumA+LumB+Normal",-1.51431125026518
"TMEM59L",3,"Basal+Her2+Normal",-1.49943280672859
"PGR",3,"Her2+LumB+Normal",-1.49715531317937
"PWWP3B",3,"Basal+Her2+LumB",-1.49201509130649
"LDLRAD4-AS1",3,"LumA+LumB+Normal",-1.41583104366612
"NRCAM",3,"Basal+Her2+LumA",-1.38949772613244
"IBSP",3,"Basal+Her2+LumA",-1.33166747159678
"ZNF365",3,"Basal+Her2+LumB",-1.32089912956913
"GCLC-AS1",3,"Basal+LumA+Normal",-1.30707326555865
"LOC105370777",3,"Basal+Her2+LumA",-1.30489240003701
"NETO1",3,"Basal+Her2+LumA",-1.29327748592259
"ATP13A4",3,"Basal+LumA+Normal",-1.27289310415226
"CAMK2B",3,"Basal+LumA+Normal",-1.19075059455679
"CYP2A7",2,"LumB+Normal",-6.72698336793191
"BCHE",2,"LumA+LumB",-5.1658788032233
"DCD",2,"LumA+Normal",-5.0615821023116
"ARHGAP36",2,"LumA+LumB",-4.76375819072747
"RN7SL3",2,"Basal+LumA",-4.60576267798113
"DDC",2,"LumA+Normal",-4.20342575618275
"AKR1B15",2,"Her2+LumA",-3.98892000855251
"DHRS2",2,"Basal+LumA",-3.47879390480777
"PCSK1",2,"LumA+LumB",-3.45959265931799
"LINC01411",2,"Basal+Her2",-3.29610430662145
"SYNPO2L",2,"LumA+LumB",-3.25283015234921
"FABP7",2,"LumA+Normal",-3.24639620040259
"DLX2",2,"Basal+LumB",-3.12476112961625
"TMEM132E",2,"Basal+LumB",-2.96740576187223
"TRPA1",2,"LumA+LumB",-2.88448586528398
"KCNJ3",2,"Her2+LumA",-2.87963067593877
"BMP5",2,"Basal+LumB",-2.85603974539285
"CYP4F22",2,"Her2+LumB",-2.80433571586357
"WIF1",2,"Basal+Normal",-2.76654122311409
"CHGB",2,"Her2+LumA",-2.68231203727997
"ZPLD1",2,"Basal+LumB",-2.67488947331791
"ACSM1",2,"LumA+Normal",-2.63834285947139
"PCP4",2,"LumB+Normal",-2.51786784678332
"EPHA7",2,"Basal+Normal",-2.50498781561904
"KRT13",2,"Basal+LumA",-2.48054123940301
"SERPINA11",2,"Her2+Normal",-2.44399869561329
