"gene","n_subtypes","subtypes_list","mean_lfc"
"TCL1A",5,"Basal+Her2+LumA+LumB+Normal",5.51860868803618
"MS4A1",5,"Basal+Her2+LumA+LumB+Normal",5.09637863685916
"PLA2G2D",5,"Basal+Her2+LumA+LumB+Normal",5.0359552192761
"FCRL1",5,"Basal+Her2+LumA+LumB+Normal",5.00838932935008
"FCER2",5,"Basal+Her2+LumA+LumB+Normal",4.54653045707588
"IGHV6-1",5,"Basal+Her2+LumA+LumB+Normal",4.4816575739378
"IFNG",5,"Basal+Her2+LumA+LumB+Normal",4.32282485313193
"FCRL3",5,"Basal+Her2+LumA+LumB+Normal",4.30873300522771
"IGKV2D-40",5,"Basal+Her2+LumA+LumB+Normal",4.26844849852792
"IGHV2-70",5,"Basal+Her2+LumA+LumB+Normal",4.26716322069341
"CD19",5,"Basal+Her2+LumA+LumB+Normal",4.26127412805394
"BLK",5,"Basal+Her2+LumA+LumB+Normal",4.23729291954839
"IGLV3-21",5,"Basal+Her2+LumA+LumB+Normal",4.15636648842837
"LINC01215",5,"Basal+Her2+LumA+LumB+Normal",4.15422274571984
"IGHV1-69D",5,"Basal+Her2+LumA+LumB+Normal",4.14222238877559
"CD79A",5,"Basal+Her2+LumA+LumB+Normal",4.11466073277925
"LINC02446",5,"Basal+Her2+LumA+LumB+Normal",4.10145431408597
"IGHG1",5,"Basal+Her2+LumA+LumB+Normal",4.09422695056804
"IGLC7",5,"Basal+Her2+LumA+LumB+Normal",4.07250808877396
"TRAT1",5,"Basal+Her2+LumA+LumB+Normal",4.03357011588752
"IGLV3-19",5,"Basal+Her2+LumA+LumB+Normal",4.0313084771447
"FAM30A",5,"Basal+Her2+LumA+LumB+Normal",4.02337237387924
"IGHV1-69-2",5,"Basal+Her2+LumA+LumB+Normal",4.01200249966448
"FCRL2",5,"Basal+Her2+LumA+LumB+Normal",4.0084048636701
"CXCL9",5,"Basal+Her2+LumA+LumB+Normal",3.99638517634763
"IGLV3-12",5,"Basal+Her2+LumA+LumB+Normal",3.97365973033272
"GZMK",5,"Basal+Her2+LumA+LumB+Normal",3.94354063874153
"IGHV3-73",5,"Basal+Her2+LumA+LumB+Normal",3.92152394514102
"IGHM",5,"Basal+Her2+LumA+LumB+Normal",3.92122510716665
"CR2",5,"Basal+Her2+LumA+LumB+Normal",3.87147322937113
"SH2D1A",5,"Basal+Her2+LumA+LumB+Normal",3.85088385762395
"IGLV1-47",5,"Basal+Her2+LumA+LumB+Normal",3.84910096676387
"GZMB",5,"Basal+Her2+LumA+LumB+Normal",3.84696957505536
"IGHV2-5",5,"Basal+Her2+LumA+LumB+Normal",3.77584168082819
"CHIT1",5,"Basal+Her2+LumA+LumB+Normal",3.77159690209891
"FCRLA",5,"Basal+Her2+LumA+LumB+Normal",3.75942350428992
"SPIB",5,"Basal+Her2+LumA+LumB+Normal",3.74831350132866
"PAX5",5,"Basal+Her2+LumA+LumB+Normal",3.73341432465367
"IGLV9-49",5,"Basal+Her2+LumA+LumB+Normal",3.72736204166225
"TRBV10-3",5,"Basal+Her2+LumA+LumB+Normal",3.72404577049783
"IGHV4-30-2",5,"Basal+Her2+LumA+LumB+Normal",3.71645198270217
"BTLA",5,"Basal+Her2+LumA+LumB+Normal",3.70388727008579
"IGKV4-1",5,"Basal+Her2+LumA+LumB+Normal",3.67514778116038
"TRDV1",5,"Basal+Her2+LumA+LumB+Normal",3.64425680729898
"TRBV18",5,"Basal+Her2+LumA+LumB+Normal",3.63760708748479
"IGHV3-43",5,"Basal+Her2+LumA+LumB+Normal",3.63153949763576
"SLAMF6",5,"Basal+Her2+LumA+LumB+Normal",3.62812689190924
"IGKV2D-29",5,"Basal+Her2+LumA+LumB+Normal",3.61492370685403
"TIFAB",5,"Basal+Her2+LumA+LumB+Normal",3.60516921745547
"IGKC",5,"Basal+Her2+LumA+LumB+Normal",3.60224413006848
"TRBV27",5,"Basal+Her2+LumA+LumB+Normal",3.60211765139588
"SIRPG",5,"Basal+Her2+LumA+LumB+Normal",3.59885678053681
"TRBV12-4",5,"Basal+Her2+LumA+LumB+Normal",3.59103226148033
"TRBV5-6",5,"Basal+Her2+LumA+LumB+Normal",3.58829589298715
