"subtype","n_samples","k","silhouette","sizes","min_cluster","pct_smallest","balanced","imbalanced","is_optimal","status"
"Basal",182,2,0.444407102464085,"166/16",16,8.8,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Basal",182,3,0.416416519643378,"166/15/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Basal",182,4,0.359626928458516,"166/11/4/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Basal",182,5,0.244591042572146,"165/11/4/1/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Basal",182,6,0.304635578435855,"84/82/9/4/2/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Her2",72,2,0.388581674876637,"65/7",7,9.7,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Her2",72,3,0.338672927150912,"39/27/6",6,8.3,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Her2",72,4,0.311333579383721,"39/25/6/2",2,2.8,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Her2",72,5,0.251979738509046,"38/21/6/6/1",1,1.4,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Her2",72,6,0.234941051303396,"25/23/16/3/3/2",2,2.8,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumA",523,2,0.752997359723683,"520/3",3,0.6,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumA",523,3,0.699008485939201,"520/2/1",1,0.2,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumA",523,4,0.49640367240955,"501/19/2/1",1,0.2,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumA",523,5,0.437327190525828,"499/19/2/2/1",1,0.2,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumA",523,6,0.430294634257305,"499/18/2/2/1/1",1,0.2,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumB",199,2,0.588763866220255,"191/8",8,4,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumB",199,3,0.485154089621834,"196/2/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumB",199,4,0.497934239858056,"189/7/2/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumB",199,5,0.387122737058907,"168/21/7/2/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"LumB",199,6,0.345882836968857,"173/11/7/5/2/1",1,0.5,FALSE,TRUE,FALSE,"NO_SUBGROUPS"
"Normal",37,2,0.4278719946073,"24/13",13,35.1,TRUE,FALSE,TRUE,"SUBGROUPS_FOUND"
"Normal",37,3,0.372472079454066,"23/13/1",1,2.7,FALSE,TRUE,FALSE,"SUBGROUPS_FOUND"
"Normal",37,4,0.339040313008565,"24/9/3/1",1,2.7,FALSE,TRUE,FALSE,"SUBGROUPS_FOUND"
"Normal",37,5,0.266079974293668,"19/9/5/3/1",1,2.7,FALSE,TRUE,FALSE,"SUBGROUPS_FOUND"
"Normal",37,6,0.174686379171215,"17/9/6/3/1/1",1,2.7,FALSE,TRUE,FALSE,"SUBGROUPS_FOUND"
