"feature","feature_clean","method","mean_g1","mean_g2","diff","p_value","group1","group2","higher_in","FDR","significant","bio_type"
"xCell_MicroenvironmentScore","MicroenvironmentScore","xCell",-0.601896315260302,1.11119319740363,1.71308951266394,2.30779435896093e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Pan-immune score"
"ssGSEA_Checkpoints","Checkpoints","ssGSEA",-0.575218982363057,1.06194273667026,1.63716171903332,2.30779435896093e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Suppressive"
"ssGSEA_HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","ssGSEA",-0.572790696971689,1.05745974825543,1.63025044522711,2.30779435896093e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Other (ssGSEA)"
"GSVA_IFN_gamma_response","IFN_gamma_response","GSVA",-0.564277314606627,1.04174273465839,1.60602004926501,5.8006315466399e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Inflammatory"
"MCP_Myeloid dendritic cells","Myeloid dendritic cells","MCP",-0.555702807535487,1.02591287545013,1.58161568298562,4.98677881047027e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Myeloid/APC"
"GSVA_Checkpoints","Checkpoints","GSVA",-0.555114726236843,1.02482718689879,1.57994191313563,7.53218558601165e-07,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Suppressive"
"ssGSEA_T_reg","T_reg","ssGSEA",-0.553835457011104,1.02246545909742,1.57630091610853,4.98677881047027e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Other (ssGSEA)"
"GSVA_T_reg","T_reg","GSVA",-0.550693709633102,1.01666531009188,1.56735901972498,3.15004282684338e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Other (GSVA)"
"xCell_ImmuneScore","ImmuneScore","xCell",-0.548439473460151,1.01250364331105,1.5609431167712,4.98677881047027e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Pan-immune score"
"quanTIseq_Other","Other","quanTIseq",0.54468847625433,-1.00557872539261,-1.55026720164694,3.67486067530463e-06,"IC1","IC2","IC1",5.18189751499831e-05,TRUE,"Other (quanTIseq)"
