"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_ALLOGRAFT_REJECTION",2.93998392004139e-27,1.46999196002069e-25,1.3575740855908,0.912444605072453,1.74854899243014,187,"GZMA,GZMB,CD8A,FASLG,SIT1,IFNG,CD3E,CRTAM,CD3D,CCL5,CD2,PRF1,CXCR3,CD3G,ITGAL,CCR5,IL12RB1,CD247,IL2RG,IL18RAP,IL2RB,CXCL9,TRAT1,CD79A,HLA-DRA,CXCL13,ITK,CCL4,HLA-DMA,HLA-DMB,CD74,HLA-DQA1,ZAP70,WARS1,HLA-DOA,PTPRC,LCP2,IRF4,WAS,CCR2,PRKCB,SRGN,CD40LG,FYB1,STAT4,LCK,IRF8,B2M,IL16,CD8B,CCL19,MAP4K1,GPR65,CTSS,IL12B,CD96,CD86,TAP1,CD4,CD40,HCLS1,CD28,NCF4,IGSF6,PSMB10,LTB,FGR,C2,KLRD1,IL15,IL2RA,GBP2,CD7,HLA-E,STAT1,HLA-DOB,ITGB2,JAK2,CCR1,LY86,TAP2,PTPN6,SPI1,IL7,NLRP3,CD1D,SOCS1,IL10,CD80,CSF1,ST8SIA4,CCL13,TLR6,TLR3,HLA-A,TLR1,CCL2,TAPBP,FAS,FCGR2B","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"ALLOGRAFT REJECTION",100
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.37384753635599e-22,3.43461884088998e-21,1.22950405660873,0.889960200545804,1.70601056340308,196,"GZMA,GBP4,CCL5,SLAMF7,IL2RB,CXCL9,CIITA,IL18BP,CD69,HLA-DMA,CD74,IRF1,HLA-DQA1,IDO1,WARS1,HLA-DRB1,IL10RA,LCP2,IRF4,CD38,FGL2,STAT4,CXCL10,ITGB7,IRF8,B2M,BANK1,CXCL11,NLRC5,CD86,TAP1,CSF2RB,CD40,FCGR1A,CMKLR1,CD274,IL15RA,SAMHD1,PSMB10,PSMB9,XCL1,VCAM1,LAP3,IL15,GBP6,STAT1,SAMD9L,JAK2,EPSTI1,APOL6,MARCHF1,C1S,GCH1,BATF2,PTPN6,HLA-B,IL7,SOCS1,UBE2L6,NFKB1,TDRD7,IRF2,PARP14,VAMP5,ST8SIA4,PSMB8,RAPGEF6,IFI30,LYSMD2,TRAFD1,TRIM21,DDX60,TNFAIP3,HLA-A,FPR1,XAF1,SELP,CASP1,CCL2,TAPBP,IFIH1,CMPK2,FAS,SP110,ZBP1,IFIT2,TNFAIP2,PSME1,PML,TRIM14,C1R,PSME2,STAT2,ZNFX1,PARP12,RSAD2,CASP7,PTPN1,RNF213,CASP4,NMI,HLA-G,EIF4E3,DHX58,HERC6,ST3GAL5,MYD88,OAS3,IFI35,OASL,SERPING1,P2RY14,GPR18,IFIT3,TNFSF10,OAS2,CCL7,IRF5,SPPL2A,IFI44L,IRF9,ICAM1,ISG20,CASP8","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON GAMMA RESPONSE",124
"HALLMARK_INFLAMMATORY_RESPONSE",1.88420267143567e-14,3.14033778572611e-13,0.97599468306432,0.857083794146387,1.6419435431473,186,"CCL5,SLAMF1,IL18RAP,CD48,IL2RB,CXCL9,CD69,LTA,CXCR6,SELL,IRF1,TNFRSF1B,CCR7,IL10RA,LCP2,LCK,CXCL10,EBI3,CXCL11,IL12B,PIK3R5,KCNA3,CD40,CMKLR1,IL15RA,TNFRSF9,CYBB,CCRL2,IL15,C3AR1,PTAFR,SEMA4D,IL7R,GPR183,GCH1,NLRP3,IL10,GP1BA,NFKB1,CSF1,PTGER4,RGS1,MSR1,TLR3,FPR1,P2RX7,TLR1,CCL2,TAPBP,MARCO,LYN,LAMP3,KCNJ2,OLR1,NOD2,IL18R1,NMI,TNFSF15,ADGRE1,CCL22,PTGER2,CD14,GPR132,C5AR1,CD70,IL18,SELE,TNFSF10,CCL7,PTPRE,GPC3,TLR2,CHST2,RHOG,RASGRP1,ICAM1,EMP3,AQP9,SCARF1,IL4R,OSM,FFAR2,AHR,IL6,BST2,CCL24,STAB1,CXCL6,P2RX4,AXL,CX3CL1,CCL17,IFITM1,NFKBIA,HBEGF,IL1B","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INFLAMMATORY RESPONSE",96
"HALLMARK_INTERFERON_ALPHA_RESPONSE",8.5564793147282e-10,8.5564793147282e-09,0.801215574617779,0.875757966477679,1.6668728118332,96,"GBP4,SELL,CD74,IRF1,WARS1,CXCL10,B2M,CXCL11,TAP1,PSMB9,CCRL2,LAP3,IL15,GBP2,SAMD9L,EPSTI1,C1S,BATF2,NUB1,IL7,UBE2L6,TMEM140,CSF1,TDRD7,IRF2,PARP14,PSMB8,LPAR6,UBA7,IFI30,TRAFD1,TRIM21,DDX60,CASP1,IFIH1,CMPK2,SP110,PARP9,IFIT2,PSME1,HLA-C,TRIM14,PSME2,STAT2,CD47,LAMP3,PARP12,RSAD2,NMI,SAMD9,DHX58,HERC6,IFI35,OASL,IFIT3,IFI44L,IRF9,ISG20,CASP8,TRIM5,OAS1,IFI44,USP18,IL4R,BST2,HELZ2","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON ALPHA RESPONSE",66
"HALLMARK_COMPLEMENT",7.20492085580921e-10,8.5564793147282e-09,0.801215574617779,0.822371826170708,1.57544468728646,186,"GZMA,GZMB,CCL5,GZMK,APOBEC3G,IRF1,LCP2,WAS,CD40LG,PLEK,LCK,PIK3CG,CTSS,GNGT2,PIK3R5,C1QC,C1QA,PSMB9,C2,LAP3,FCER1G,CR2,JAK2,C1S,FCN1,CASP10,ITGAM,GP1BA,APOC1,DOCK10,IRF2,CTSC,CR1,TNFAIP3,CASP1,ERAP2,LIPA,SH2B3,SERPINA1,CTSL,C1R,LYN,LTF,OLR1,CASP7,CASP4,CTSO,S100A9,APOBEC3F,DUSP5,C3,LTA4H,SERPING1,GNG2,CPM,USP15,LGMN,RHOG,RASGRP1,GRB2,PLA2G7,SPOCK2,F8,CFB,ATOX1,IL6","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"COMPLEMENT",66
"HALLMARK_IL2_STAT5_SIGNALING",8.37884987042601e-08,6.98237489202168e-07,0.704975715167238,0.797506576182782,1.52809736710775,190,"GBP4,CD48,IL2RB,RHOH,SELL,TNFRSF1B,IL10RA,IRF4,ICOS,EOMES,FGL2,CST7,CXCL10,CTLA4,IRF8,GPR65,CD86,TNFRSF9,LTB,CDC42SE2,TRAF1,ABCB1,IL2RA,CCR4,TLR7,GALM,TGM2,SOCS1,IL10,TNFRSF8,CSF1,CD79B,PRKCH,SELP,BATF,ITGAE,IL3RA,SMPDL3A,IL18R1,PTGER2,LRRC8C,IL1RL1,CCND2,TNFSF10,XBP1,IKZF4,TNFRSF4,CISH,ADAM19,CCNE1,MAP3K8","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL2 STAT5 SIGNALING",51
"HALLMARK_MYOGENESIS",2.39829357820679e-07,1.71306684157628e-06,0.674962860011025,-0.553918066851384,-1.97796976592081,174,"NCAM1,PPFIA4,KCNH1,TNNC2,EPHB3,SMTN,RYR1,ACTA1,SPARC,FKBP1B,CACNA1H,CRYAB,TAGLN,MYL3,ITGB5,CDH13,SGCD,EFS,COX7A1,AEBP1,MYOZ1,CKMT2,COL1A1,ANKRD2,APP,PPP1R3C,CAMK2B,MYLK,PDLIM7,ATP2A1,REEP1,COL4A2,MYL11,ITGA7,COL3A1,SORBS3,COL6A3,SLC6A8,TCAP,CKB,SPDEF,SGCA,TPM2,NAV2,IFRD1,TPD52L1,WWTR1,SPEG,CNN3,ADAM12,VIPR1,SH2B1,APOD,AGRN,SVIL,TNNC1,MYOM1,HRC,ITGB1,ERBB3,PTP4A3,CDKN1A,PKIA,DMD,TNNT1,MYL4,LARGE1,PICK1,MYH9,DES,ENO3,FST","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",TRUE,"MYOGENESIS",72
"HALLMARK_IL6_JAK_STAT3_SIGNALING",3.50248747153537e-06,2.1890546697096e-05,0.627256739718528,0.84917447820211,1.60774283519009,79,"IL12RB1,IL2RG,CXCL9,CXCL13,IRF1,TNFRSF1B,CD38,CXCL10,EBI3,CXCL11,PIK3R5,CSF2RB,IL15RA,LTB,IL2RA,STAT1,CCR1,IL7,SOCS1,CSF1,ITGA4,CSF2RA,FAS,IL3RA,STAT2,PTPN1,IL18R1,PLA2G2A,CD14,MYD88,IL6ST,CCL7,TLR2,IRF9,GRB2","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL6 JAK STAT3 SIGNALING",35
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.30403717409924e-05,7.24465096721802e-05,0.593325476396405,0.764133358366895,1.46518027040708,197,"CCL5,CCL4,CD69,IRF1,PLEK,CXCL10,CXCL11,IL12B,TAP1,IL15RA,TNFAIP8,TNFRSF9,CCRL2,TRAF1,BIRC3,IL7R,GPR183,GCH1,CD80,NFKB1,CSF1,NFKB2,DRAM1,PTGER4,TNFAIP3,CCL2,IFIH1,IFIT2,TNFAIP2,RELB,TNIP1,OLR1,SLC2A6,RNF19B,DUSP5,SLC16A6,BCL2A1,CFLAR,NFKBIE,IL18,IL23A,IL6ST,PTPRE,BCL3,TLR2,ICAM1,FUT4,MAP3K8,PNRC1,ZC3H12A,IL6,GFPT2,CXCL6,NFKBIA,HBEGF,IL1B,STAT5A,NFIL3","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"TNFA SIGNALING VIA NFKB",58
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000210801191736964,0.00105400595868482,0.518848077743792,-0.459938179793252,-1.64230269700851,198,"EDIL3,SPOCK1,ENO2,FBN2,CADM1,LOXL2,COL11A1,GPC1,QSOX1,TIMP3,SPARC,MMP14,TAGLN,THBS2,ITGB5,PMEPA1,P3H1,BMP1,CALD1,ACTA2,VEGFA,THBS1,SGCD,ITGB3,CRLF1,THY1,COL12A1,FBLN1,NTM,COL5A1,PLOD1,POSTN,CDH2,PDGFRB,SERPINH1,COL4A1,COL1A2,LOXL1,COL1A1,TGFBI,LAMA1,EFEMP2,COL5A2,DPYSL3,FERMT2,FN1,MYL9,MYLK,VCAN,NOTCH2,MATN3,CDH11,PFN2,GPX7,MGP,LOX,INHBA,COL4A2,OXTR,NID2,SGCB,COL3A1,COL6A3,SLC6A8,PCOLCE,VIM,ITGA5,SNAI2,SLIT2,TPM2,MSX1,CDH6,APLP1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",TRUE,"EPITHELIAL MESENCHYMAL TRANSITION",73
"HALLMARK_KRAS_SIGNALING_UP",0.00154604927346257,0.00702749669755715,0.45505986738723,0.714403605607044,1.36859161494746,183,"IL2RG,TNFRSF1B,IL10RA,IKZF1,CXCL10,CD37,IRF8,TLR8,MAP4K1,CTSS,CMKLR1,DOCK2,LAPTM5,TRAF1,ABCB1,ADAMDEC1,BIRC3,FCER1G,C3AR1,ITGB2,PDCD1LG2,IL7R,LAT2,HSD11B1,LY96,PSMB8,GLRX,TNFAIP3,CSF2RA,PRDM1,FUCA1,PECAM1,LCP1,CCND2,EPB41L3,GYPC,PIGR,ST6GAL1,ADAM8","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"KRAS SIGNALING UP",39
"HALLMARK_GLYCOLYSIS",0.00286897770690508,0.0119540737787712,0.431707695803346,-0.404679425504685,-1.45418391025976,187,"PPFIA4,ENO2,EFNA3,SDC2,GPC1,QSOX1,PDK3,CACNA1H,GAL3ST1,VEGFA,B4GALT2,P4HA1,COL5A1,PLOD1,TGFBI,KDELR3,PAM,VCAN,CHST6,IER3,CHPF,CAPN5,MXI1,FAM162A,DPYSL4,HOMER1,SLC37A4,SOD1,ZNF292,ANG,STC1,CLDN9,BIK,AGRN,PHKA2,HS2ST1,TPBG,NDUFV3,STMN1,B3GALT6,LDHC,NOL3,SDC1,ALDH7A1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",TRUE,"GLYCOLYSIS",44
"HALLMARK_APOPTOSIS",0.00616784630940344,0.0237224858053978,0.184915881971771,0.708875542580141,1.35904414605641,155,"FASLG,CD2,PRF1,CD69,IRF1,CD38,TAP1,BIRC3,CYLD,PLCB2,GCH1,CASP1,FAS,CASP7,CASP4,DPYD,CD14,CFLAR,CCND2,IL18,TNFSF10,ISG20,CASP8","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"APOPTOSIS",23
"HALLMARK_TGF_BETA_SIGNALING",0.0192982456140351,0.068922305764411,0.310776919977249,-0.544332791515805,-1.55554014641433,54,"SMAD6,CDKN1C,PMEPA1,THBS1,ID3,SMAD3,LEFTY2,ID1,FURIN,ACVR1,BMPR1A,WWTR1,SKI,TGIF1,BMP2,NOG,CTNNB1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"TGF BETA SIGNALING",17
"HALLMARK_NOTCH_SIGNALING",0.0376190476190476,0.125396825396825,0.162190534576841,-0.580036696416836,-1.46732934299533,31,"HEYL,FZD1,FZD7,NOTCH2,MAML2,APH1A,HES1,PSENEN,NOTCH3,RBX1,DTX1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"NOTCH SIGNALING",11
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0523636363636364,0.163636363636364,0.062655195332066,0.683112179384622,1.30159016264837,101,"FASLG,IL2RG,PRKCB,LCK,SLA,STAT2,IRAK4,DAPP1,MYD88,CAMK4,NCK1,GRB2,TRAF2,GRK2,CAB39","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"PI3K AKT MTOR SIGNALING",15
"HALLMARK_UV_RESPONSE_DN",0.0581524535091427,0.171036627968067,0.321775918075361,-0.362652382174738,-1.24702928905999,141,"MMP16,COL11A1,SDC2,MAP1B,ITGB3,ACVR2A,PDGFRB,MAGI2,COL1A2,COL1A1,COL5A2,SMAD3,RUNX1,ID1,NOTCH2,IGF1R,ERBB2,DDAH1,PTPN21,PIAS3,LTBP1,DYRK1A,COL3A1,NFIB,KALRN,SNAI2,IGFBP5,BMPR1A,GJA1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"UV RESPONSE DN",29
"HALLMARK_APICAL_SURFACE",0.154819633353046,0.430054537091793,0.0371823354857534,0.696450114659662,1.26712284405962,42,"IL2RG,IL2RB,MAL,LYN","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"APICAL SURFACE",4
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.167929636729471,0.441920096656502,0.249246554383295,-0.30371029199453,-1.08212168405415,197,"NDUFS6,ATP5ME,MGST3,UQCR10,SLC25A4,NDUFC2,COX6B1,ETFB,MAOB,NQO2,UQCRB,ATP6V1D,NDUFA3,ATP5PO,TIMM8B,NDUFB8,NDUFB1,COX7A2,NDUFB7,ATP5PF,ALDH6A1,MRPS11,ATP6V1E1,POLR2F,COX6A1,COX5B,ATP5MC1,LDHB,TOMM22,ATP6V0B,NDUFA5,ATP6V1H,NDUFS3,COX6C,NDUFA8,ATP5MF,MRPS30,NDUFA6,COX7A2L,NDUFA1,TIMM9,ECI1,ECH1,NDUFAB1,CYB5R3,UQCRH,ATP5MG,COX7C,DECR1,ATP1B1,COX17,ATP5F1D,RETSAT,NDUFB2,NDUFB4,TIMM10,MTX2,TIMM50,NDUFS8,SLC25A6,COX8A,PHYH,TIMM17A,UQCR11,CYB5A,PDHA1,COX7B","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"OXIDATIVE PHOSPHORYLATION",67
"HALLMARK_ANGIOGENESIS",0.243538767395626,0.598032640286161,0.0635916868333331,-0.462659813660397,-1.17317586131624,32,"VEGFA,POSTN,PDGFA,APP,COL5A2,FGFR1,VCAN,COL3A1,TNFRSF21,MSX1,STC1,LRPAP1,JAG2,KCNJ8,ITGAV","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"ANGIOGENESIS",15
"HALLMARK_PROTEIN_SECRETION",0.251173708920188,0.598032640286161,0.139050712469267,-0.332561513375178,-1.07855063955154,96,"VPS45,YIPF6,PAM,ATP1A1,GNAS,SH3GL2,RAB2A,BNIP3,SOD1,CLCN3,ARF1,TPD52,ERGIC3,ZW10,DST,KRT18,AP2S1,CAV2,VAMP4,SEC22B,RAB22A,SCAMP1,ATP6V1H,AP2M1,NAPG,CD63,ARCN1,MON2,SCAMP3,EGFR,KIF1B,ATP7A,ANP32E,RER1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"PROTEIN SECRETION",34
"HALLMARK_KRAS_SIGNALING_DN",0.295135355180134,0.670762170863942,0.0225767736411513,0.581981124951643,1.11446850068442,136,"IFNG,PDCD1,TCL1A,CD40LG,IL12B,CCR8,TENT5C,CD80,GP1BA,MAST3,ZBTB16,RSAD2,SIDT1,SLC29A3,IFI44L,CHST2,GP2","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"KRAS SIGNALING DN",17
"HALLMARK_PANCREAS_BETA_CELLS",0.323550212164074,0.68973315241972,0.0454734777155712,-0.479162141155574,-1.1218263311598,22,"NKX6-1,SEC11A,SYT13,SRP9","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"PANCREAS BETA CELLS",4
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.331071913161465,0.68973315241972,0.0913212902305258,-0.345972588300298,-1.05223434559101,72,"SEMA3B,PDK3,TM7SF2,EBP,SQLE,GPX8,SREBF2,HMGCR,SC5D,PMVK,ERRFI1,DHCR7,TMEM97,FADS2,HMGCS1,ALCAM,MVK,ATXN2,ALDOC,CTNNB1,LSS,AVPR1A,ATF3,PCYT2,ECH1,MVD,ACAT2","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"CHOLESTEROL HOMEOSTASIS",27
"HALLMARK_HEDGEHOG_SIGNALING",0.344973544973545,0.68994708994709,0.0546498540116765,-0.419549000848384,-1.08065152404349,34,"CRMP1,VEGFA,THY1,NKX6-1,NRCAM,HEY1,HEY2,SCG2,ADGRG1,LDB1,DPYSL2,MYH9,TLE3,AMOT,OPHN1,TLE1","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"HEDGEHOG SIGNALING",16
"HALLMARK_ANDROGEN_RESPONSE",0.436666666666667,0.83974358974359,0.0169835953266242,0.554110722226077,1.05566280237182,98,"TARP,B2M,TNFAIP8,PTK2B,FKBP5,SPCS3,HPGD,DNAJB9,CENPN,NCOA4,NGLY1,LIFR,ELL2,INPP4B","Basal","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"ANDROGEN RESPONSE",14
