"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_ALLOGRAFT_REJECTION",2.59240411446162e-23,1.27027801608619e-21,1.25451347943706,0.90804833849913,1.63397384587476,187,"IL2RB,CD96,ITK,CXCR3,CD3E,CD3G,CD8A,LCK,CD2,PRF1,CD247,GZMA,GZMB,IL2RG,FASLG,CD8B,TRAT1,CD7,HLA-DOB,CCL5,PRKCB,SIT1,CD3D,MAP4K1,IFNG,CRTAM,HLA-DRA,CCL19,STAT4,CXCL9,CD79A,KLRD1,ITGAL,CD40LG,CCR5,CD74,LTB,FGR,IL12RB1,WAS,IL18RAP,IRF4,ZAP70,CD40,LCP2,PTPRC,CCR2,IRF8,HLA-DMA,HLA-DMB,SRGN,CTSS,CD4,CXCL13,CCL4,NCF4,IL18,HLA-DOA,IL12B,WARS1,IL27RA,FYB1,IL16,CD28,HLA-DQA1,SPI1,HCLS1,IGSF6,LY75,ITGB2,SOCS1,ETS1,HLA-E,C2,CCL13,ST8SIA4,TAP2,CD86,GPR65,IL10,IL15,LYN,IL2RA,GBP2,TAP1,TNF,PTPN6,IFNAR2,HLA-G,CCL11,CD1D,JAK2,CSF1,PSMB10,NLRP3,TLR6,B2M","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"ALLOGRAFT REJECTION",97
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.29804432509036e-13,1.54302085964714e-11,0.921426003494898,0.853901047629837,1.53561281697196,196,"IL2RB,GZMA,CCL5,SLAMF7,CD38,IL18BP,STAT4,CXCL9,CSF2RB,CD74,GPR18,IRF4,IL10RA,CD40,CIITA,GBP4,BANK1,LCP2,CD69,IDO1,IRF8,HLA-DMA,IRF1,SELP,WARS1,FGL2,ITGB7,HLA-DRB1,TNFAIP3,ZBP1,HLA-DQA1,SOCS1,CMKLR1,P2RY14,CASP1,SAMHD1,NLRC5,ST8SIA4,CD86,CXCL10,IL15,PSMB9,IL15RA,HLA-B,PIM1,TAP1,CD274,CXCL11,PTPN6,IFNAR2,HLA-G,XCL1,JAK2,IRF5,PSMB10,B2M,GBP6,LAP3,FCGR1A,TAPBP,ICAM1,SAMD9L,SERPING1,PSME2,MARCHF1,IRF9,STAT1,C1R,C1S,EPSTI1,PSMB8,PTPN2,HLA-A,PSME1,BATF2,PLA2G4A,APOL6,IFI30,RTP4,UBE2L6,FAS,IFI44L,IFI35,VCAM1,CASP4,FPR1,TRIM21,SOCS3,IL6,BST2,UPP1,CCL2,VAMP5,NMI,TNFAIP2,ISG20,SP110,IRF2,NFKBIA,SECTM1,PELI1,OASL,HERC6,LGALS3BP,CFH","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON GAMMA RESPONSE",105
"HALLMARK_INFLAMMATORY_RESPONSE",3.50553260273795e-09,5.72570325113865e-08,0.774939030136436,0.826247595110235,1.48677873565465,187,"IL2RB,LCK,SELL,SLAMF1,CD48,CCL5,CXCR6,CXCL9,LTA,IL18RAP,IL10RA,IL18R1,GPR132,CCR7,KCNA3,CD40,LCP2,TNFRSF1B,CD69,IRF1,GP1BA,IL18,IL12B,CHST2,IL7R,PIK3R5,GPR183,EBI3,RASGRP1,CMKLR1,CYBB,CCL17,SEMA4D,TNFRSF9,CXCL10,IL10,IL15,IL15RA,PTGER4,LYN,SELE,NMUR1,TACR1,CXCL11,LAMP3,GNA15,P2RX7,PTAFR,EMP3,CSF1,NLRP3,TAPBP,CCL24,ICAM1,PTGER2,CCL20,CD70,RHOG,SCARF1,CD14,CCL22,RTP4,APLNR,C3AR1,FPR1,CALCRL,ADGRE1,C5AR1,MARCO,TIMP1,IL6,BST2,STAB1,CCL2,NMI","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INFLAMMATORY RESPONSE",75
"HALLMARK_IL2_STAT5_SIGNALING",9.28911413695691e-08,1.13791648177722e-06,0.704975715167238,0.805593552477176,1.44907306365048,191,"IL2RB,EOMES,SELL,CD48,CTLA4,TNFRSF8,ICOS,LTB,IRF4,IL10RA,IL18R1,CCR4,ABCB1,GBP4,TNFRSF1B,TRAF1,IRF8,CD79B,SELP,CST7,FGL2,LRRC8C,CD83,IL1R2,SOCS1,BATF3,TNFRSF9,CD86,GPR65,CXCL10,IL10,IL2RA,PIM1,CDC42SE2,GLIPR2,CSF1,IL3RA,CCND2,SYT11,PTGER2,ITIH5,TNFRSF4","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL2 STAT5 SIGNALING",42
"HALLMARK_COMPLEMENT",2.73483691306377e-07,2.6801401748025e-06,0.674962860011025,0.803530900294378,1.44604178548622,186,"LCK,GZMA,GZMK,GZMB,CCL5,SPOCK2,CD40LG,WAS,PLEK,CTSC,LCP2,IRF1,GP1BA,CTSS,CR2,APOBEC3G,PIK3CG,C3,PIK3R5,TNFAIP3,PLA2G7,FCN1,CR1,GNG2,RASGRP1,C2,C1QA,CASP1,FYN,FCER1G,C1QC,GNGT2,PSMB9,DOCK10,LYN,PIM1,APOC1,CPM,ITGAM,JAK2,LAP3,SERPING1,ADRA2B,SH2B3,LIPA,C1R,C1S,RHOG,F10,TFPI2,CASP10,PDP1,CTSH,PLA2G4A,CXCL1,PRCP,KCNIP2","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"COMPLEMENT",57
"HALLMARK_IL6_JAK_STAT3_SIGNALING",5.88066911651027e-06,4.80254644515006e-05,0.610526878385931,0.856282213319059,1.53526240546491,79,"IL2RG,CD38,CXCL9,CSF2RB,LTB,IL12RB1,IL18R1,TNFRSF1B,IRF1,CXCL13,PIK3R5,EBI3,PLA2G2A,CSF2RA,IL1R2,SOCS1,CXCL10,IL15RA,IL2RA,PIM1,TNF,CXCL11,CSF1,ITGA4,IL3RA,ACVRL1,IRF9,CXCL3,STAT1,CCR1,PTPN2,TGFB1,CD14,HMOX1,CNTFR,CXCL1,FAS","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL6 JAK STAT3 SIGNALING",37
"HALLMARK_ESTROGEN_RESPONSE_EARLY",2.19598336158885e-05,0.00015371883531122,0.575610261071129,-0.452283101794724,-1.71234240593971,198,"STC2,SLC2A1,IGF1R,ANXA9,SLC39A6,HSPB8,SLC7A2,MINDY1,RET,ARL3,CCND1,GJA1,RHOBTB3,MLPH,GREB1,TSKU,PGR,THSD4,FHL2,ENDOD1,SEC14L2,DYNLT3,SCNN1A,ITPK1,SYT12,SLC16A1,FRK,OVOL2,CA12,PAPSS2,FKBP4,RRP12,KDM4B,AMFR,RAB17,FLNB,ESRP2,MYOF,ADCY9,ASB13,XBP1,SLC19A2,FKBP5,B4GALT1,MED13L,ABLIM1,ABHD2,ABCA3,DEPTOR,MSMB,SLC26A2,PRSS23,SYNGR1,PLAAT3,AFF1,MREG,KCNK15,TFAP2C,NCOR2,ELOVL5,CELSR1","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",TRUE,"ESTROGEN RESPONSE EARLY",61
"HALLMARK_KRAS_SIGNALING_UP",2.72623778381736e-05,0.000166982064258813,0.575610261071129,0.776539449910911,1.39744999987481,181,"IL2RG,IKZF1,CD37,MAP4K1,HSD11B1,IL10RA,ABCB1,IL33,TNFRSF1B,TRAF1,IRF8,BIRC3,CTSS,ADAMDEC1,DOCK2,IL7R,TLR8,TNFAIP3,CSF2RA,ITGB2,ETS1,TSPAN7,CMKLR1,LAPTM5,FCER1G,PDCD1LG2,TMEM176B,CXCL10,TMEM176A,LY96,LAT2,EPHB2,TMEM100,PECAM1,GYPC,ENG,CIDEA,CCND2,CXCR4,G0S2,CCL20,PSMB8","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"KRAS SIGNALING UP",42
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.000185333714931425,0.000991320402447388,0.518848077743792,-0.510402194003711,-1.72344510520311,112,"STC2,ALDH18A1,BAG3,SEC31A,ATF6,KDELR3,PAIP1,VEGFA,EIF4E,SLC30A5,SKIC3,HSPA9,IARS1,DNAJA4,SHC1,EIF4G1,SSR1,EEF2,EXOC2,XBP1,DDIT4,EIF4EBP1,EIF2S1,EIF4A2,TUBB2A,NOLC1,NOP56,YIF1A,ERO1A,PARN,EXOSC9,CNOT6,LSM1,FKBP14","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",TRUE,"UNFOLDED PROTEIN RESPONSE",34
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000202310286213753,0.000991320402447388,0.518848077743792,0.809126336670646,1.45489420956829,96,"SELL,CD74,GBP4,IRF1,WARS1,CASP1,CXCL10,IL15,PSMB9,GBP2,TAP1,CXCL11,LAMP3,CSF1,B2M,LAP3,SAMD9L,PSME2,IRF9,UBA7,C1S,EPSTI1,PSMB8,PSME1,BATF2,IFI30,RTP4,UBE2L6,IFI44L,IFI35,TRIM21,BST2,TMEM140,NMI,HLA-C,ISG20,SP110,IRF2,OASL,HERC6,LGALS3BP,PARP14,PARP12,GMPR,CD47,RIPK2","Her2","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON ALPHA RESPONSE",46
