"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_ALLOGRAFT_REJECTION",1.94713285204137e-21,8.17795797857376e-20,1.19534448258848,0.898521187739502,1.60314645532096,187,"CCL5,CD247,CD2,GZMA,CD8A,PRF1,CD3D,CD96,LCK,CD3G,CD3E,CXCR3,CD8B,SIT1,CXCL9,TRAT1,ITK,GZMB,CD7,ZAP70,FASLG,IL2RG,CCR5,CRTAM,IL12B,IL18RAP,CD40LG,MAP4K1,CCL19,PRKCB,IL12RB1,LTB,CCR2,CD79A,IFNG,HLA-DOB,HLA-E,WAS,PTPRC,HCLS1,LCP2,IRF4,CD1D,KLRD1,STAT4,SRGN,FYB1,HLA-DMB,IL2RA,NCF4,CD4,HLA-DOA,IL16,CD28,CCL4,HLA-DRA,IRF8,CD40,HLA-DMA,SOCS1,CCL13,FGR,HLA-DQA1,CD74,LYN,IL15,TAP2,B2M,GPR65,IL10,WARS1,TAP1,ITGB2,SPI1,CTSS,ITGAL,ETS1,LY86,IGSF6,CD86,HLA-A,STAT1,NLRP3,PSMB10,CCL2,GBP2,ST8SIA4,IL2RB,CCR1,IL6,IL7,CSK,IL18,STAB1,IFNAR2,FCGR2B","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"ALLOGRAFT REJECTION",96
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.23333897406214e-14,4.6900118455305e-13,0.97599468306432,0.859298249471128,1.53211815946191,195,"CCL5,GZMA,CXCL9,XCL1,CD38,SLAMF7,IDO1,CSF2RB,IL10RA,LCP2,GBP4,IL18BP,CXCL11,IRF4,CD69,ZBP1,CXCL10,NLRC5,GPR18,BANK1,STAT4,PSMB9,ITGB7,FGL2,CIITA,IRF8,SAMHD1,TNFAIP3,IL15RA,CD40,IRF1,HLA-DMA,SOCS1,SELP,CMKLR1,VAMP5,HLA-DRB1,P2RY14,HLA-DQA1,CD74,EPSTI1,IL15,B2M,WARS1,TAP1,HLA-B,CASP1,CD86,HLA-A,STAT1,PSMB10,LAP3,CCL2,CD274,C1R,VCAM1,NMI,CASP4,APOL6,SERPING1,ST8SIA4,CFH,IL2RB,IL6,PML,PIM1,IL7,MX2,PSMB8,UPP1,PLA2G4A,C1S,BATF2,TRIM21,IFNAR2,ISG20,UBE2L6,RTP4,FAS,STAT2,FPR1,PSME2,SOCS3,IFI44,PTGS2,SP110,ICAM1,SAMD9L,FCGR1A,IFIT3,IRF5,PLSCR1,IFI44L,PTPN6,PARP14,IFI30,IFIH1,IL4R,OASL,RSAD2,HERC6,HLA-G,LYSMD2,ISG15,PARP12,XAF1,IFIT2,SLC25A28,IFI35,BST2,TXNIP,MX1,TAPBP,IRF7,ARL4A,CMPK2,PSME1,OAS2,IFITM3","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON GAMMA RESPONSE",119
"HALLMARK_INFLAMMATORY_RESPONSE",1.94386057903167e-11,2.72140481064434e-10,0.863415391606693,0.842641357663277,1.50339548793854,184,"CCL5,LCK,CXCL9,SLAMF1,CD48,CCR7,CXCR6,IL12B,IL18RAP,TNFRSF1B,LTA,LAMP3,IL7R,IL10RA,SELL,LCP2,CXCL11,CD69,CXCL10,EBI3,KCNA3,GPR183,PIK3R5,CCL17,IL15RA,CD40,IL18R1,IRF1,TNFRSF9,CMKLR1,GP1BA,LYN,IL15,CHST2,IL10,TACR1,PTAFR,PTGER4,SEMA4D,NLRP3,SELE,CYBB,CCL2,NMI,SCARF1,IL2RB,IL6,RHOG,IL18,STAB1,C3AR1,MARCO,RTP4,EMP3,CCRL2,CD14,RGS1,PTGIR,CX3CL1,GPR132,FPR1,ADGRE1,EDN1,NMUR1,ICAM1,APLNR,CD70,HBEGF,IL4R","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INFLAMMATORY RESPONSE",69
"HALLMARK_COMPLEMENT",7.64262100267556e-10,8.02475205280934e-09,0.801215574617779,0.827346411206267,1.47592858912902,185,"CCL5,GZMK,GZMA,LCK,SPOCK2,GZMB,CD40LG,WAS,LCP2,FCN1,PLEK,CR2,APOBEC3G,C1QA,GNGT2,PSMB9,PIK3R5,FYN,TNFAIP3,C3,IRF1,PIK3CG,GP1BA,C1QC,CR1,LYN,CTSC,CTSS,CASP1,GNG2,CASP10,APOC1,F10,LAP3,F5,PLA2G7,C1R,CASP4,LGMN,SERPING1,CFH,IL6,PIM1,FCER1G,RHOG,PLA2G4A,C1S","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"COMPLEMENT",47
"HALLMARK_KRAS_SIGNALING_UP",4.6435739790589e-07,3.90060214240947e-06,0.674962860011025,0.797911862989681,1.42344192306726,181,"IL2RG,TNFRSF1B,MAP4K1,IKZF1,IL7R,IL10RA,CD37,CXCL10,TRAF1,DOCK2,IRF8,PDCD1LG2,TNFAIP3,GYPC,TLR8,LY96,HSD11B1,LAPTM5,TSPAN7,CXCR4,CMKLR1,PECAM1,BIRC3,CSF2RA,ITGB2,CTSS,ETS1,LCP1,IL33,ABCB1,ADAMDEC1,ENG,CFH,PRDM1,MAFB,GNG11,FCER1G,PSMB8,LAT2,TMEM100,ADGRL4,C3AR1,G0S2,TFPI,TMEM176B,RBP4,PLVAP,PTGS2,EPHB2,TMEM176A,SPARCL1,CIDEA,HBEGF,GPNMB,MALL,CCND2,BMP2,PPP1R15A,RELN,ALDH1A2","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"KRAS SIGNALING UP",60
"HALLMARK_INTERFERON_ALPHA_RESPONSE",5.60518896249584e-06,3.92153354055082e-05,0.610526878385931,0.837812513187171,1.50323862734333,96,"LAMP3,SELL,GBP4,CXCL11,CXCL10,PSMB9,IRF1,CD74,EPSTI1,IL15,B2M,WARS1,TAP1,CASP1,LAP3,GBP2,NMI,IL7,PSMB8,C1S,TMEM140,BATF2,TRIM21,HLA-C,ISG20,UBE2L6,RTP4,CCRL2,STAT2,NCOA7,PSME2,IFI44,SP110,SAMD9L,IFIT3,PLSCR1,IFI44L,PARP14,IFI30,IFIH1,IL4R,OASL,RSAD2,HERC6,LPAR6,ISG15,PARP12,IFIT2,SLC25A28,IFI35,BST2,TXNIP,MX1,UBA7,IRF7,NUB1,SAMD9,CMPK2,PSME1,IFITM3","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON ALPHA RESPONSE",60
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.53588923425137e-06,3.92153354055082e-05,0.610526878385931,0.778932260250678,1.38882304493139,196,"CCL5,IL12B,IL7R,CXCL11,PLEK,CD69,CXCL10,GPR183,TRAF1,BCL2A1,CCL4,DUSP2,TNFAIP3,IL15RA,IRF1,TNFRSF9,BIRC3,TAP1,TNFAIP8,PTGER4,CCL2,CD83,FUT4,PTX3,EGR2,IL6,KLF2,SLC2A3,IL18,ETS2,RELB,IL23A,G0S2,GEM,MSC,CCRL2,SGK1,NFKBIE,CD80,PNRC1,SOCS3,NR4A3,EDN1,PTGS2,CCN1,CXCL2,EHD1,ICAM1,NFKB2,CFLAR,HBEGF,RCAN1,IFIH1,SLC2A6,BMP2,RNF19B,PPP1R15A,EGR3,ZFP36,CXCL3,CEBPB,FOSB,IFIT2,CXCL1,DUSP1,EGR1,JUNB,TLR2,PLPP3,PER1,ATF3,IER2,STAT5A,KLF6,CCL20,MAP2K3,KLF9,SAT1,BTG1","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"TNFA SIGNALING VIA NFKB",79
"HALLMARK_IL2_STAT5_SIGNALING",8.96701068379448e-06,4.7076806089921e-05,0.593325476396405,0.775480181092406,1.38308750369794,192,"EOMES,CD48,ICOS,TNFRSF1B,LTB,CD79B,CST7,IL10RA,CTLA4,TNFRSF8,SELL,GBP4,IRF4,CCR4,CXCL10,IL2RA,TRAF1,FGL2,IRF8,IL18R1,TNFRSF9,SOCS1,SELP,BATF3,GPR65,IL10,CD86,GLIPR2,TNFRSF4,ABCB1,IL1R2,LRRC8C,CD83,SHE,IL2RB,IL3RA,ITIH5,PIM1,SLC2A3,CDC42SE2,SYT11,TGM2,PRKCH,PLAGL1,PLPP1,PLSCR1,IL4R,CCND2,BMP2,PLIN2,TLR7,ITGAE,CD81,F2RL2,PENK,IFNGR1,ARL4A,CCND3,CTSZ,AGER,IFITM3","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL2 STAT5 SIGNALING",61
"HALLMARK_IL6_JAK_STAT3_SIGNALING",3.27541121752417e-05,0.000152852523484461,0.557332238758646,0.841362817414147,1.50952746593566,78,"CXCL9,IL2RG,TNFRSF1B,CD38,IL12RB1,LTB,CSF2RB,CXCL11,CXCL10,IL2RA,EBI3,PIK3R5,IL15RA,IL18R1,IRF1,SOCS1,CSF2RA,STAT1,IL1R2,PLA2G2A,ACVRL1,CCR1,IL3RA,IL6,PIM1,IL7,A2M,FAS,CD14,STAT2,SOCS3,TGFB1,IL4R,CXCL3,LEPR,CD36,CXCL1,TLR2,IFNGR1,ITGA4","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL6 JAK STAT3 SIGNALING",40
"HALLMARK_APOPTOSIS",0.00620807049163913,0.0260738960648844,0.183397180948084,0.722580000922652,1.29094431019782,155,"CD2,PRF1,FASLG,CD38,CD69,IRF1,PLCB2,BIRC3,TAP1,CASP1,CASP4,GPX3,IL6,GSN,IL18,ISG20,CAV1,FAS,CD14,ANXA1,IGFBP6,CFLAR,CCND2,BMP2,DPYD,F2R,EGR3,TXNIP,HGF,IFNGR1,PLPPR4,ATF3,HMOX1,IFITM3,GPX1,CYLD,BID,SAT1,AVPR1A,GADD45B,TSPO","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"APOPTOSIS",41
"HALLMARK_PROTEIN_SECRETION",0.0149135417473335,0.0569426139443643,0.380730400722792,-0.409627695145489,-1.43785701526484,96,"DNM1L,YIPF6,OCRL,NAPG,SCAMP1,TPD52,ARFIP1,ARFGEF1,CLCN3,GOLGA4,BNIP3,ATP6V1B1,COG2,AP2B1,TSG101,ARFGEF2,TMED10,ADAM10,ATP6V1H,AP1G1,RAB2A,MON2,ATP1A1,COPB2,VAMP4,SH3GL2,SCRN1,TMED2,COPB1,ATP7A,AP3B1,RAB22A,LMAN1,VPS45,GBF1,RAB5A,KIF1B,TOM1L1,GALC,ICA1,VPS4B,USO1","LumA","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"PROTEIN SECRETION",42
