"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_ALLOGRAFT_REJECTION",1.13129128194473e-18,5.09081076875126e-17,1.11466447751729,0.919146486870397,1.45555283754384,188,"CD247,CD2,CD8A,CD3E,CD3D,CXCR3,LCK,CCL5,PRF1,CD3G,CXCL9,CD96,GZMA,ITK,GZMB,IL2RG,TRAT1,SIT1,ZAP70,CD7,FASLG,IL18RAP,PRKCB,CD40LG,CCR5,IFNG,IL12RB1,IRF4,CD8B,MAP4K1,CCR2,CD79A,IL12B,CRTAM,STAT4,IL2RA,WAS,PTPRC,HLA-E,LCP2,LTB,HLA-DOB,HCLS1,CCL13,IL2RB,CCL19,TAP2,CCL4,HLA-DRA,CD4,FYB1,CD74,HLA-DMB,NCF4,ITGAL,SOCS1,HLA-DQA1,HLA-DMA,KLRD1,IRF8,CTSS,CD28,SRGN,IGSF6,IL16,TAP1,HLA-DOA,FGR,SPI1,LYN,PSMB10,CD86,ITGB2,CD1D,WARS1,CCR1,NLRP3,GPR65,STAT1,GBP2,B2M,C2,IFNAR2,IL15,ETS1,ST8SIA4,CD40,CD80,IL7,IL10,ACHE,CCL2,LY86,HLA-A,CCL7,CCL22,FCGR2B,CCL11,CSK,PTPN6,CCND2,TLR1,LY75,IL18","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"ALLOGRAFT REJECTION",104
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.77740295134621e-11,1.5249156640529e-09,0.839088935621274,0.878123652112015,1.38944940652436,196,"CCL5,CXCL9,GZMA,CD38,SLAMF7,XCL1,IL18BP,IRF4,GPR18,GBP4,STAT4,IL15RA,LCP2,CSF2RB,IL10RA,IL2RB,HLA-DRB1,CXCL10,FGL2,CD74,CD69,IRF1,CXCL11,SOCS1,HLA-DQA1,HLA-DMA,PSMB9,IRF8,NLRC5,CIITA,TAP1,CD274,BANK1,IDO1,EPSTI1,SAMHD1,PSMB10,CD86,TNFAIP3,WARS1,VAMP5,GBP6,FCGR1A,STAT1,CMKLR1,ITGB7,CASP1,APOL6,HLA-B,MARCHF1,B2M,PSMB8,P2RY14,ZBP1,IFNAR2,NMI,STAT2,IL15,ST8SIA4,LAP3,SELP,CD40,IL7,SERPING1,PSME2,PLA2G4A,CCL2,IFI30,ISG20,HLA-A,CCL7,VCAM1,XAF1,PARP12,CFH,C1R,SP110,MX2,SAMD9L,C1S,PTPN6,TRIM21,PARP14,PML,FPR1,UBE2L6,FAS,IFIT3,BATF2,TAPBP,CASP4,LGALS3BP,IRF9,RTP4,OGFR,HLA-G,TRAFD1,PIM1,CMPK2,RNF213,UPP1,HELZ2,IFI44,JAK2,IFIH1,DHX58,ICAM1,LY6E,PNP,USP18,PSME1,ZNFX1,PTPN2","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON GAMMA RESPONSE",113
"HALLMARK_INFLAMMATORY_RESPONSE",2.70232258617012e-09,4.05348387925518e-08,0.774939030136436,0.86823288096149,1.37522613813065,185,"LCK,CCL5,CXCL9,CXCR6,SLAMF1,CCR7,IL18RAP,CD48,LAMP3,LTA,IL12B,IL7R,KCNA3,TNFRSF1B,IL15RA,EBI3,LCP2,IL10RA,IL2RB,TNFRSF9,CXCL10,CD69,IRF1,CXCL11,IL18R1,PTGER4,GPR183,SELL,CYBB,LYN,PTAFR,CCL17,NLRP3,CMKLR1,CCRL2,NMI,IL15,MARCO,CHST2,PIK3R5,CD40,GP1BA,C3AR1,IL10,CCL2,P2RX7,CCL7,CD14,SEMA4D,CCL22,EMP3,GPR132,TLR1,IL18,CD70,FPR1,TLR2,C5AR1,TAPBP,TACR1,RTP4,SCARF1,CX3CL1,RGS1,TNFSF9,OSM,RHOG,ADRM1,ICAM1,LY6E,MSR1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INFLAMMATORY RESPONSE",71
"HALLMARK_COMPLEMENT",1.30938211334689e-06,1.47305487751526e-05,0.643551836150722,0.841974892687589,1.33363514036861,185,"LCK,CCL5,GZMA,GZMK,GZMB,CD40LG,SPOCK2,WAS,C1QA,LCP2,FCN1,PLEK,IRF1,PSMB9,C1QC,APOBEC3G,CTSS,GNGT2,CR1,PIK3CG,LYN,CR2,TNFAIP3,PLA2G7,FCER1G,CTSC,APOC1,CASP1,FYN,F5,C2,PIK3R5,LAP3,LGMN,GP1BA,SERPING1,C3,CASP10,PLA2G4A,KLK1,CFH,C1R,CTSL,C1S,GNG2,ITGAM,SERPINA1,TFPI2,CTSB,CASP4,PIM1,DOCK10,CTSH,PFN1,RHOG,JAK2,CEBPB","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"COMPLEMENT",57
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.31957219461068e-05,0.000298761497514961,0.557332238758646,0.867523214035421,1.38697483880807,96,"LAMP3,GBP4,CXCL10,CD74,IRF1,CXCL11,PSMB9,TAP1,SELL,EPSTI1,WARS1,CASP1,CCRL2,GBP2,B2M,PSMB8,HLA-C,NMI,STAT2,IL15,LAP3,TMEM140,IL7,PSME2,IFI30,ISG20,PARP12,SP110,SAMD9L,C1S,TRIM21,PARP14,UBE2L6,IFIT3,BATF2,LGALS3BP,IRF9,RTP4,OGFR,TRAFD1,CMPK2,UBA7,HELZ2,IFI44,IFIH1,DHX58,LY6E,USP18,PSME1,DDX60,MOV10,IFIT2,OAS1,OASL,RSAD2,PLSCR1,SAMD9,TXNIP,LPAR6,PARP9,TRIM26,SLC25A28,IL4R,CMTR1,PNPT1,IFI35,IFI44L,IFITM3,MX1,NUB1,IRF7","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON ALPHA RESPONSE",71
"HALLMARK_IL6_JAK_STAT3_SIGNALING",5.12368909306377e-05,0.000384276681979783,0.557332238758646,0.873942658773736,1.39901424560284,78,"CXCL9,IL2RG,CD38,IL12RB1,IL2RA,TNFRSF1B,IL15RA,EBI3,LTB,CSF2RB,CXCL10,IRF1,CXCL11,SOCS1,IL18R1,CSF2RA,CCR1,STAT1,IL1R2,STAT2,PIK3R5,IL7,CCL7,CD14,A2M,ACVRL1,FAS,TLR2,BAK1,IRF9,ITGA4,PIM1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL6 JAK STAT3 SIGNALING",32
"HALLMARK_IL2_STAT5_SIGNALING",0.000104366634030935,0.000670928361627438,0.538434096309916,0.818967665241626,1.29663564687172,192,"IRF4,CD48,CTLA4,EOMES,GBP4,IL2RA,ICOS,TNFRSF8,TNFRSF1B,CST7,LTB,CD79B,IL10RA,IL2RB,TNFRSF9,CXCL10,TRAF1,FGL2,CCR4,SOCS1,IL18R1,IRF8,SELL,CD86,ABCB1,GPR65,IL1R2,GLIPR2,CD83,TGM2,ITGAE,SELP,TNFRSF4,IL10,BATF3,TLR7,CCND2,CTSZ,GALM,LRRC8C,PIM1,SYT11,SLC2A3,PNP,SYNGR2,CDC42SE2,ADAM19,IL1RL1,PRNP,PLSCR1,IL3RA,PLAGL1,GADD45B,IL4R,AGER,ITIH5,IFITM3,CAPN3,GSTO1,GABARAPL1,PTRH2,RGS16","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"IL2 STAT5 SIGNALING",62
"HALLMARK_KRAS_SIGNALING_UP",0.000289482003336357,0.00162833626876701,0.49849310876659,0.805621934876654,1.27650043512087,182,"IL2RG,MAP4K1,IKZF1,IL7R,TNFRSF1B,IL10RA,CXCL10,CD37,TRAF1,ADAMDEC1,HSD11B1,PDCD1LG2,TLR8,IRF8,CTSS,DOCK2,ITGB2,TNFAIP3,ABCB1,CSF2RA,FCER1G,BIRC3,LAPTM5,LCP1,CMKLR1,LY96,PSMB8,ETS1,PRDM1,C3AR1,LAT2,GYPC,CFH,APOD,CCND2,IL33,GPNMB,PECAM1,CXCR4,ENG,TMEM176B,ADAM8,MAFB,EPB41L3,ALDH1A3,TSPAN7","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"KRAS SIGNALING UP",46
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0022004400880176,0.011002200440088,0.310776919977249,0.786643032314978,1.24470657477951,195,"CCL5,IL12B,IL7R,IL15RA,TNFRSF9,CXCL10,PLEK,TRAF1,CCL4,CD69,IRF1,CXCL11,BCL2A1,PTGER4,TAP1,GPR183,TNFAIP3,BIRC3,CD83,CCRL2,DUSP2,CD80,NFKBIE,CCL2,IL23A,SLC2A6,TNFAIP8,SGK1,IL18,TLR2,DRAM1,RNF19B,NFKB2,TNFSF9,MSC,CFLAR,STAT5A,SLC2A3,CEBPB,IFIH1,ICAM1,ZC3H12A,RELB,IFIT2,EGR2,NFKBIA,GCH1,SOCS3,FUT4,NR4A3,GADD45B,MARCKS,GFPT2,SAT1,CXCL1,IFNGR2","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",TRUE,"TNFA SIGNALING VIA NFKB",56
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0224038752649107,0.100817438692098,0.0958569623789466,0.78842396707875,1.26041305499413,101,"LCK,IL2RG,FASLG,PRKCB,CAMK4,STAT2,SLA,CXCR4","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"PI3K AKT MTOR SIGNALING",8
"HALLMARK_APOPTOSIS",0.0459735576923077,0.188073645104895,0.0658132939529589,0.751030558272279,1.19239160018684,155,"CD2,PRF1,CD38,FASLG,CD69,IRF1,TAP1,PLCB2,BIRC3,CASP1,ISG20,CD14,CCND2,IL18,DPYD,NEFH,FAS,CASP4","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"APOPTOSIS",18
"HALLMARK_APICAL_SURFACE",0.165721761883995,0.62145660706498,0.0340829244633745,0.772608820516281,1.22726677635975,42,"IL2RG,MAL,IL2RB,LYN,GHRL,CX3CL1,CRYBG1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"APICAL SURFACE",7
"HALLMARK_COAGULATION",0.2701126307321,0.876623376623377,0.0238099380467155,0.697190311621779,1.11383515896809,112,"C1QA,PLEK,APOC1,FYN,C2,LGMN,GP1BA,APOA1,SERPING1,C3,CFH,C1R,TF,MMP1,C1S,MMP3,A2M,PECAM1,SERPINA1,TFPI2,CTSB,CTSH,MMP7,VWF,PREP,ANXA1,CFI,SH2B2,DPP4,CFD,OLR1,P2RY1,F10,LRP1,COMP,C8G,CTSK,ISCU,PROS1,MMP9,MMP2","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"COAGULATION",41
"HALLMARK_PROTEIN_SECRETION",0.272727272727273,0.876623376623377,0.265216893779997,-0.325209455664919,-1.07941706159667,96,"ARFIP1,VAMP4,CLCN3,ATP7A,YIPF6,SCAMP1,GOLGA4,RAB14,COG2,AP1G1,COPB2,ATP1A1,OCRL,SCAMP3,ICA1,AP2B1,TSG101,SEC31A,NAPA,AP3B1,CLN5,TMED10,GBF1,GOSR2,BET1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"PROTEIN SECRETION",25
"HALLMARK_BILE_ACID_METABOLISM",0.30740441027716,0.922213230831479,0.0218374069907392,0.693221231796758,1.10897936946799,94,"LCK,ABCD2,ALDH1A1,ACSL5,APOA1,BMP6,OPTN,ABCA6,PIPOX,ABCA8,ABCD1,IDH2,AQP9,CH25H,ABCA9","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"BILE ACID METABOLISM",15
"HALLMARK_KRAS_SIGNALING_DN",0.32922305764411,0.92593984962406,0.0206339723048616,0.678926169160988,1.08038232785551,137,"PDCD1,CD40LG,IFNG,IL12B,TCL1A,CHST2,CCR8,CD80,GP1BA,SGK1,KCNMB1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"KRAS SIGNALING DN",11
"HALLMARK_NOTCH_SIGNALING",0.352112676056338,0.932062966031483,0.0665002323311693,-0.405461689511516,-1.06787905070331,31,"CCND1,SKP1,ARRB1,HES1,FZD1,FBXW11,JAG1,LFNG,FZD7","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"NOTCH SIGNALING",9
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.426678159681069,1,0.0178195988990446,0.681458031441911,1.08372815064969,46,"IPCEF1,LSP1,FTL,G6PD,PRNP,MBP,FES,GPX3","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"REACTIVE OXYGEN SPECIES PATHWAY",8
"HALLMARK_TGF_BETA_SIGNALING",0.403809523809524,1,0.0981470491928706,-0.346955013986847,-1.01702260377443,53,"SKIL,SMAD1,SMURF1,XIAP,APC,PPM1A,CTNNB1,FNTA,ARID4B,BCAR3,PMEPA1,TGIF1,RHOA,BMPR1A,TJP1,TRIM33,KLF10,BMPR2,UBE2D3,SMAD3","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"TGF BETA SIGNALING",20
"HALLMARK_XENOBIOTIC_METABOLISM",0.609065439263558,1,0.0115688523513624,0.618631788339135,0.981113848943998,171,"ABCD2,HSD11B1,IRF8,PTGDS,PSMB10,APOE,VNN1,IGF1,SLC6A12,FMO1,FAS,TMEM176B,CES1,UPP1,ALDH2,CBR1,MAN1A1,AQP9,ACP2,GCH1,CDO1,HMOX1,TDO2,SLC6A6,GSTO1,FBLN1,GABARAPL1,F10","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"XENOBIOTIC METABOLISM",28
"HALLMARK_APICAL_JUNCTION",0.691807542262679,1,0.0096356157403156,0.600144175979348,0.95085282355133,183,"PTPRC,TRAF1,FYB1,RAC2,CD274,CD86,ICAM2,CD209,SIRPA,VCAM1,PECAM1,CADM3,CX3CL1,PFN1,ICAM1,CLDN15,NRXN2,MSN,SKAP2,SYK,HADH,VWF,PLCG1,MDK,ARPC2,ADAM23,CNN2,RSU1,CLDN11,STX4,SLIT2,ZYX,AMIGO2,EPB41L2","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"APICAL JUNCTION",34
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.805080508050805,1,0.00710244474168237,0.570602318532993,0.902675052141562,198,"IL32,TNFAIP3,WIPF1,TGM2,ABI3BP,IL15,DKK1,VCAM1,EMP3,MMP1,MMP3,FAS,TFPI2,GLIPR1,TGFB1,SERPINE2,CXCL12,FBLN5,SCG2,SGCG,SFRP4,FBLN2,FGF2,GADD45B,SAT1,CXCL1,FBLN1,SLIT2,FUCA1,GPX7,LRP1,LAMA2,COMP,EFEMP2,IGFBP3,DAB2,PPIB,PTX3,GEM,PLAUR,CDH2,NNMT,MMP2,CCN2,DCN,ECM2,FSTL1,VEGFC,CAPG,ELN","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"EPITHELIAL MESENCHYMAL TRANSITION",50
"HALLMARK_UV_RESPONSE_UP",0.818291094861264,1,0.00683211643567349,0.554958907403839,0.881825957169611,152,"IRF1,TAP1,LYN,ABCB1,HLA-F,ARRB2,SLC6A12,FMO1,MGAT1,PPIF,BAK1,ICAM1,GAL,NFKBIA,GCH1,CDO1,HMOX1,FGF18","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"UV RESPONSE UP",18
"HALLMARK_P53_PATHWAY",0.863686368636864,1,0.00573569781748659,0.546818245223122,0.865536064741409,193,"IRAG2,SOCS1,TAP1,CASP1,TCN2,GM2A,IFI30,DEF6,ADA,CCND2,FAS,DRAM1,RAP2B,RNF19B,BAK1,TRAFD1,RHBDF2,UPP1,TNFSF9,S100A4,TGFB1,CEBPA,TXNIP,PVT1,HMOX1,SAT1,RALGDS,RGS16,TPD52L1,FUCA1,BMP2,MDM2,OSGIN1,SPHK1,DDIT3,ISCU","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"P53 PATHWAY",36
"HALLMARK_PEROXISOME",0.798928427011727,1,0.00743334296117797,0.538603147038922,0.86110550237717,96,"ABCD2,ALDH1A1,ABCB1,ACSL5,ACSL4,ABCD1,IDH2,SLC25A19","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"PEROXISOME",8
"HALLMARK_MTORC1_SIGNALING",0.876287628762876,1,0.00542512940449989,0.542370883023525,0.858013802628839,198,"CORO1A,FGL2,ITGB2,WARS1,CTSC,LGMN,IFI30,SLA,CXCR4,SLC7A5,SLC2A3,PNP,SKAP2,G6PD,PSMA4,PSAT1,STARD4,DAPP1,ME1,SLC6A6,MTHFD2,NFKBIB,PITPNB,PSMB5,EIF2S2,DDIT3,PLK1,CALR,SHMT2,PSMC4,DDX39A,EBP,ACTR3,PSMA3,EDEM1,PSMD14,RRM2,AURKA","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"MTORC1 SIGNALING",38
"HALLMARK_SPERMATOGENESIS",0.797711855826668,1,0.00748711667997418,0.535635601283921,0.857016082567815,91,"GFI1,IL12RB2,CAMK4,NEFH,SLC2A5,LPIN1,POMC","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"SPERMATOGENESIS",7
"HALLMARK_FATTY_ACID_METABOLISM",0.858488675085187,1,0.00590490985550138,0.531597895834051,0.84551657301523,144,"IL4I1,ALDH1A1,CD1D,ACSL5,VNN1,INMT,FMO1,UBE2L6,ACSL4,PSME1,ACSM3,CBR1,SDHA,HADH,ME1,TDO2,SMS,GABARAPL1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"FATTY ACID METABOLISM",18
"HALLMARK_PANCREAS_BETA_CELLS",0.797402597402597,1,0.0338859260319688,-0.317429701976468,-0.768328002696646,22,"PCSK1,ABCC8,SRP9,SPCS1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in Low/IC1",FALSE,"PANCREAS BETA CELLS",4
"HALLMARK_HYPOXIA",0.960696069606961,1,0.00292551440539897,0.471965989867071,0.7475339590791,187,"PLAC8,TNFAIP3,TGM2,CHST2,ETS1,ISG20,CXCR4,PYGM,SLC2A5,PIM1,S100A4,SLC2A3,NAGK,CCN5,HAS1,HMOX1,SLC6A6,LXN,PRDX5,IGFBP3,PLIN2,PNRC1,DDIT3,PRKCA,PLAUR,PHKG1,AMPD3,JMJD6,CCN2,DCN,FOXO3,ANKZF1,EGFR","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"HYPOXIA",33
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.836137688331684,1,0.00810233239746593,0.469541797962028,0.745009029470174,39,"DKK1,CCND2,TCF7,WNT6","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"WNT BETA CATENIN SIGNALING",4
"HALLMARK_MYC_TARGETS_V2",0.875432525951557,1,0.00641747930661193,0.456065652468717,0.727433630667555,56,"DUSP2,PES1,PUS1,PLK1,WDR74,SRM,TBRG4,NDUFAF4,NOP16,MRTO4,PA2G4,NOP56,CDK4,FARSA,IMP4,MYBBP1A","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"MYC TARGETS V2",16
"HALLMARK_DNA_REPAIR",0.961619400741557,1,0.00296385796922732,0.444377396283028,0.706156001729144,149,"HCLS1,PDE6G,ADA,CMPK2,ADRM1,PNP,NT5C3A,ELL,GSDME,BOLA2,GUK1,POLA2,CDA,RAE1,NPR2,TARBP2,ALYREF,NME1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"DNA REPAIR",18
"HALLMARK_MYOGENESIS",0.988095238095238,1,0.00161648987923872,0.405176475419036,0.642097804954657,176,"LSP1,ACHE,IGF1,APOD,BIN1,TNNI2,PYGM,LPIN1,TGFB1,TNNT3,SYNGR2,SGCG,PTGIS,PRNP,MEF2C,GNAO1,FGF2,GADD45B,KIFC3,CFD,CKM,TPD52L1,GPX3,LAMA2,COL15A1,IGFBP3,APLNR,KCNH2,SPHK1,CHRNB1,ITGA7,PKIA,CACNA1H,CKB","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"MYOGENESIS",34
"HALLMARK_UV_RESPONSE_DN",0.984761904761905,1,0.00194206009124261,0.377678715860621,0.600735417082452,141,"PIK3CD,CELF2,FYN,SYNE1,TGFBR2,GRK5,PTGFR,FBLN5","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"UV RESPONSE DN",8
"HALLMARK_HEME_METABOLISM",0.995597358415049,1,0.00103287589286975,0.355503476790632,0.563807730222591,171,"CLIC2,C3,GYPC,OPTN,ACKR1,MPP1,CTSB,RBM38,SNCA,USP15,KEL,LMO2,ACP5,KAT2B,KDM7A,MFHAS1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"HEME METABOLISM",16
"HALLMARK_ANDROGEN_RESPONSE",0.983840016159984,1,0.00235700080010808,0.341231222452557,0.545557358368441,98,"B2M,TNFAIP8,SGK1,ADRM1,ALDH1A3,MAF,PTK2B,UBE2J1,SAT1,SMS,HPGD,PGM3,MERTK,MYL12A,FKBP5,SRF,RPS6KA3,TARP,CCND3,PLPP1","LumB","High_Q4_vs_Low_Q1","Hallmark","Enriched in High/IC2",FALSE,"ANDROGEN RESPONSE",20
