"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",5.09936299684021e-31,2.54968149842011e-29,1.44620288250144,0.840119458642247,2.35702778249358,196,"STAT4,BANK1,SAMD9L,GPR18,CD69,CSF2RB,IL10RA,LAP3,STAT1,CIITA,WARS1,SLAMF7,CD38,PARP14,IRF4,IDO1,XAF1,CCL5,SP110,IL18BP,HLA-DQA1,DDX60,LCP2,P2RY14,ITGB7,NLRC5,IFI44,SAMHD1,IRF8,ZBP1,TAP1,EPSTI1,GBP4,CXCL9,PARP12,IFI30,IRF1,MARCHF1,TNFAIP3,RNF213,MYD88,CASP8,CD86,RIGI,HLA-DRB1,MX2,CD274,NMI,PTPN6,HLA-DMA,B2M,VCAM1,PIM1,IFI44L,OAS2,IRF5,CXCL10,RSAD2,SOCS3,STAT2,CMPK2,CMTR1,IL2RB,OAS3,CXCL11,CD74,C1S,APOL6,EIF2AK2,FGL2,IFIT2,ZNFX1,IFIH1,IL7,IL6,ST8SIA4,PSMB10,ST3GAL5,SELP,USP18,IFIT3,IRF9,C1R,IFNAR2,FPR1,CASP1,TRIM21,PLSCR1,CFH,CASP7,HLA-B,PSMB9,CD40,TDRD7,FCGR1A,HELZ2,CASP4,ADAR,HERC6,CFB,IL15,TRIM14,OASL,PTGS2,CCL7,TRAFD1,CMKLR1,IL15RA,MX1,CASP3,UBE2L6,JAK2,HLA-A,ICAM1,SECTM1,CDKN1A,PTPN1,LYSMD2,NUP93,ISG20,XCL1,RIPK1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON GAMMA RESPONSE",122
"HALLMARK_ALLOGRAFT_REJECTION",1.73176570448689e-29,4.32941426121722e-28,1.40995143033448,0.840468796170464,2.35346325880777,188,"STAT4,PRKCB,ITK,CD3G,ITGAL,CD96,TRAT1,LCK,CD8A,CD8B,IL12RB1,IL16,PTPRC,CD2,CRTAM,CD28,STAT1,MAP4K1,HLA-DOB,CD79A,CD3E,TAP2,WARS1,SIT1,CCR5,HCLS1,ZAP70,CXCR3,IRF4,FCGR2B,CD3D,SRGN,CTSS,ITGB2,FYB1,FGR,CD247,HLA-DMB,CCL5,IFNG,WAS,HLA-DQA1,CCR2,IL2RA,HLA-DRA,LCP2,HLA-DOA,IL12B,CD80,CD4,IRF8,IL2RG,IL18RAP,CD40LG,FASLG,TAP1,CD1D,CXCL9,LY86,LTB,MMP9,CCL13,CCR1,CD86,PTPN6,HLA-DMA,B2M,GPR65,SPI1,C2,CCL4,CD7,ELF4,IL2RB,GZMB,NCF4,CD74,HLA-E,ETS1,LYN,IL7,IGSF6,IL6,ST8SIA4,PSMB10,PRF1,CSK,IFNAR2,NLRP3,KLRD1,BRCA1,CD40,CCL22,IL15,TLR6,CCL7,CXCL13,IL10,TNF,IL18,JAK2,CCL19,UBE2D1,HLA-A,ICAM1,BCAT1,HDAC9,TGFB1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"ALLOGRAFT REJECTION",108
"HALLMARK_INFLAMMATORY_RESPONSE",4.64426799316332e-20,7.7404466552722e-19,1.16017957183021,0.788088836045424,2.20536631809462,186,"CD48,CD70,LCK,CD69,IL10RA,GPR183,CXCR6,SELL,MARCO,CCR7,LTA,PIK3R5,IL18R1,TNFRSF1B,LAMP3,GP1BA,CCL5,C5AR1,CCL24,IL7R,LCP2,IL12B,IL18RAP,TNFRSF9,CXCL9,SEMA4D,IRF1,SLAMF1,NMI,AQP9,IRAK2,CXCL10,EBI3,PTAFR,IL2RB,CXCL11,CCRL2,TNFSF9,EIF2AK2,KCNA3,LYN,IL6,CCL17,LDLR,OSM,GPR132,NLRP3,FPR1,ABCA1,CD40,HAS2,APLNR,CCL22,RGS1,IL15,SCARF1,SELE,C3AR1,RGS16,CCL7,PLAUR,CMKLR1,IL15RA,MSR1,PTGIR,CSF3R,CCL20,RASGRP1,IL10,IL18,CYBB,OLR1,NOD2,CHST2,BEST1,EMP3,ICAM1,CDKN1A","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"INFLAMMATORY RESPONSE",78
"HALLMARK_INTERFERON_ALPHA_RESPONSE",9.581853627879e-18,1.19773170348487e-16,1.0864405425825,0.856262771414751,2.2509382363291,96,"SAMD9L,SAMD9,LAP3,SELL,WARS1,PARP14,LAMP3,TMEM140,SP110,DDX60,IFI44,TAP1,EPSTI1,GBP4,PARP12,IFI30,IRF1,PARP9,CASP8,NMI,B2M,IFI44L,CXCL10,RSAD2,STAT2,CMPK2,CMTR1,CXCL11,CCRL2,NUB1,CD74,C1S,EIF2AK2,IFIT2,IFIH1,IL7,USP18,IFIT3,IRF9,CASP1,TRIM21,PLSCR1,PSMB9,TDRD7,HELZ2,ADAR,HLA-C,UBA7,HERC6,IL15,TRIM14,OASL,TRAFD1,MX1,UBE2L6","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"INTERFERON ALPHA RESPONSE",55
"HALLMARK_COMPLEMENT",1.1897179511855e-12,1.1897179511855e-11,0.910119734774459,0.730023893716699,2.04168013458523,185,"CR1,CR2,LCK,SPOCK2,LAP3,PLEK,CTSC,PIK3R5,GP1BA,CTSS,GZMK,CCL5,WAS,LCP2,ITGAM,CD40LG,FYN,IRF1,TNFAIP3,MMP12,CTSL,PIM1,LGMN,PLA2G7,FCN1,LIPA,C2,F5,C1QA,GZMB,CASP10,APOC1,C1S,CXCL1,DOCK10,APOBEC3G,LYN,IL6,SH2B3,GNGT2,C1R,FCER1G,CASP1,PLSCR1,CFH,CASP7,PSMB9,C1QC,KYNU,CASP4,C4BPB,CFB,EHD1,C3,PLAUR,CASP3,PRCP,RASGRP1,CTSB,JAK2,OLR1,GNG2,DYRK2,GNAI2,CTSV,CPM,RHOG,GZMA,CEBPB,USP15,GCA,PIK3CG,IRF2,CDA,GRB2,KIF2A,CTSH,KCNIP2","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"COMPLEMENT",78
"HALLMARK_KRAS_SIGNALING_UP",5.75653593838642e-10,4.79711328198868e-09,0.801215574617779,0.696035234372906,1.94433460973267,182,"IKZF1,TRAF1,CD37,IL10RA,ADAMDEC1,PDCD1LG2,MAP4K1,TLR8,CSF2RA,TNFRSF1B,DOCK2,CTSS,ITGB2,IL7R,LCP1,HSD11B1,IRF8,LAPTM5,IL2RG,PTPRR,BIRC3,ADAM8,TNFAIP3,MMP9,CXCR4,CXCL10,TMEM176B,ETS1,FUCA1,F13A1,LY96,EPB41L3,MYCN,FCER1G,CFH,MMD,PECAM1,SERPINA3,G0S2,KLF4,TMEM176A,LAT2,CFB,GYPC,C3AR1,RGS16,PTGS2,PLAUR,CMKLR1,MAFB,CCL20","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"KRAS SIGNALING UP",51
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.32467994515579e-10,5.94619996082556e-09,0.801215574617779,0.683389654849109,1.91759781186408,197,"TRAF1,CD69,TNFAIP8,GPR183,PLEK,BCL2A1,CCL5,IL7R,CD83,IL12B,CD80,TAP1,BIRC3,TNFRSF9,IRF1,TNFAIP3,RIGI,MAP3K8,CXCL10,SOCS3,CCL4,SLC2A6,CXCL11,RNF19B,CCRL2,TNFSF9,CXCL1,SLC2A3,IFIT2,NR4A3,IFIH1,IL6,LDLR,ABCA1,G0S2,KLF4,NFKB2,KYNU,IL23A,CFLAR,EHD1,RELB,NR4A2,PTGS2,REL,PLAUR,IL15RA,CCL20,TNF,IL18,OLR1,ICAM1,CDKN1A,DRAM1,IER5,BMP2,CLCF1,NFKBIE,TNFAIP2,TNIP1,DENND5A,MXD1,MCL1,PTGER4,CEBPB,ZFP36,ATF3,RIPK2,ACKR3,GCH1,BTG1,FOS,SPHK1,JUNB,SNN,NFKB1,SERPINE1,SAT1,IL1B,JAG1,CXCL3,TNFAIP6,DUSP1,FOSB,PANX1,FOSL2,NR4A1,PTPRE,CCL2","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"TNFA SIGNALING VIA NFKB",89
"HALLMARK_IL6_JAK_STAT3_SIGNALING",5.41966953364283e-09,3.38729345852677e-08,0.761460801445585,0.79336620524982,2.03812129448514,79,"CSF2RB,IL12RB1,STAT1,PIK3R5,IL18R1,CSF2RA,CD38,TNFRSF1B,IL2RA,IL2RG,CXCL9,IRF1,LTB,MYD88,CCR1,PIM1,MAP3K8,CXCL10,SOCS3,STAT2,EBI3,HMOX1,CXCL11,CXCL1,IL7,IL6,ITGA4,IRF9,ACVRL1,BAK1,CCL7,IL15RA,CXCL13,CSF3R,TNF,PTPN1,TGFB1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"IL6 JAK STAT3 SIGNALING",37
"HALLMARK_IL2_STAT5_SIGNALING",8.74369209433113e-08,4.85760671907285e-07,0.704975715167238,0.657619865391097,1.84225440312778,191,"CD48,TRAF1,ICOS,IL10RA,EOMES,SELL,CCR4,TNFRSF8,IL18R1,TNFRSF1B,IRF4,IL2RA,CST7,CD83,IRF8,TNFRSF9,CTLA4,GBP4,LTB,CD86,CD79B,PIM1,GPR65,MAP3K8,CXCL10,IL2RB,NT5E,LRRC8C,FGL2,SLC2A3,CDC42SE2,ADAM19,PRKCH,CCNE1,SELP,TNFRSF4,GLIPR2,PLSCR1,COCH,RGS16,ITGAE,CASP3,IL10,TGM2,CTSZ,TLR7,BMP2,DENND5A,MXD1,IKZF2,GUCY1B1,NCOA3,CDC6,RHOH,SYT11,NFKBIZ,PNP,ODC1","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",TRUE,"IL2 STAT5 SIGNALING",58
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.80177107802885e-07,9.00885539014423e-07,0.690132458796796,-0.51576172101293,-1.90639152403739,198,"THSD4,PDZK1,CELSR2,MPPED2,NPY1R,IGF1R,SLC22A5,ZNF185,PGR,OVOL2,DEPTOR,INHBB,HES1,TPD52L1,PTGES,GFRA1,SLC7A2,STC2,AREG,KRT15,IL17RB,TFF3,FARP1,WWC1,MYB,KAZN,TFAP2C,SEC14L2,SCNN1A,KRT13,KRT18,MAPT,TFF1,ADCY1,MYBBP1A,KRT19,SLC39A6,TTC39A,SULT2B1,LRIG1,XBP1,BCL2,AQP3,TOB1,RBBP8,CHPT1,TUBB2B,TMEM164,SLC2A1,LAD1,SYNGR1,RAPGEFL1,ASB13,CA12,SLC1A1,FKBP4,CANT1,RETREG1,ABAT,KDM4B,KCNK15,ELOVL5,BLVRB,DHRS3,CISH,ABCA3,ESRP2,ITPK1,FASN,HR,MED24,FLNB,MUC1,MINDY1,GREB1,ENDOD1,SYBU,PDLIM3,MYC,RAB17,MLPH,ANXA9","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",TRUE,"ESTROGEN RESPONSE EARLY",82
