"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_TCR_SIGNALING",2.15145957360073e-14,2.91518703374028e-12,0.97599468306432,0.911789090530053,1.64568571774388,106,"ITK,CD3E,CD3G,LCK,CD247,TRAT1,CD3D,TRBV7-9,GRAP2,HLA-DRA,TRAV29DV5,PLCG2,PRKCQ,INPP5D,WAS,ZAP70,LCP2,PTPRC,HLA-DPA1,PTPN22,CARD11,CD4,TRAV8-4,HLA-DQB1,TRBV12-3,HLA-DPB1,TRAV19,FYB1,HLA-DRB1,HLA-DQA1,HLA-DRB5,HLA-DQB2","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"TCR SIGNALING",32
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",2.51309227046576e-14,2.91518703374028e-12,0.97599468306432,0.884259285428231,1.59471648935343,151,"BLK,PRKCB,CD19,PIK3CD,CD79A,PLCG2,IGKV1-39,IGKV1-16,CARD11,IGLV6-57,IGHV1-46,CD79B,BTK,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,IGKV1D-39,IGKV2D-40,IGHV2-5,NFATC2,IGKV1-33,IGHV3-7,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,CD22,IGLV2-8,RASGRP1,IGLV3-25,IGKV1D-16,IGHV4-59,IGHM,FYN,IGLV1-40,VAV1,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,IGHV3-53,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,LYN,IGHV3-11,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,PTPN6,IGHV4-34,IGLV3-27,RASGRP3,IGHD,IGHV3-13,IGHV1-69,IGHV3-33,PIK3AP1,IGKV2D-28,NFKBIE","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY THE B CELL RECEPTOR BCR",73
"REACTOME_SIGNALING_BY_INTERLEUKINS",1.64843308102209e-13,1.27478824932375e-11,0.943632225232838,0.797933345117804,1.43223666240379,409,"IL2RB,PTPN7,LCK,IL2RG,FASLG,CCL5,IFNG,IL18BP,CCL19,STAT4,PIK3CD,CSF2RB,JAK3,CCR5,INPP5D,IL12RB1,IL18RAP,IRF4,IL10RA,IL18R1,IL33,FCER2,TNFRSF1B,CCR2,IL32,IL21R,CD4,IGHG4,CCL4,IL18,IL12B,IL27RA,PTK2B,IL7R,IL16,ITGAX,HCK,EBI3,S1PR1,CSF2RA,ALOX5,S100B,IL1R2,ITGB2,SOCS1,CASP1,FYN,VAV1,IGHG1,NLRC5,CD86,CXCL10,IL10,POMC,IL15,IL15RA,LYN,IL34,IL2RA,STAT5A,HAVCR2,PIM1,TNF,PTPN6,ITGAM,CCL11,PTAFR,JAK2,IL22RA2,CSF1,CSF1R,IL12RB2,IL3RA,MEF2C,ICAM1,ALOX15,PSME2,IL6R,LGALS9,STAT1,CCL20,CCR1,PTPN2,TGFB1,FGF2,IL1RL1,NFKBIB,SAA1,MSN,IL24,HMOX1,CCL22,SYK,CNTFR,CXCL1,LCP1,VCAM1,BATF,FPR1,CCL3,STAT5B,RHOU,GSTA2,TIMP1,SOX2,NFKB2,SOCS3,CTSG,IL6,IL11RA,PSMC4","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY INTERLEUKINS",111
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",2.44063357934692e-13,1.41556747602122e-11,0.932595211336209,0.868680396249697,1.5676116156966,169,"ITK,GRAP2,PLCG2,IGKV1-39,PRKCQ,LCP2,IGKV1-16,CARD11,IGLV6-57,IGHV1-46,BTK,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,RASGRP2,IGKV1D-39,IGKV2D-40,IGHV2-5,NFATC2,IGKV1-33,IGHV3-7,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,IGLV2-8,RASGRP1,TXK,IGLV3-25,IGKV1D-16,IGHV4-59,FYN,IGLV1-40,VAV1,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,FCER1G,IGHV3-53,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,LYN,IGHV3-11,LAT2,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,IGHV4-34,IGLV3-27,IGHV3-13,IGHV1-69,IGHV3-33","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"FC EPSILON RECEPTOR FCERI SIGNALING",67
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",5.85589067798566e-13,2.71713327458535e-11,0.921426003494898,0.920270027303934,1.65782138439423,85,"BLK,CD19,PIK3CD,CD79A,PLCG2,IGKV1-39,IGKV1-16,IGLV6-57,IGHV1-46,CD79B,BTK,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,IGKV1D-39,IGKV2D-40,IGHV2-5,IGKV1-33,IGHV3-7,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,CD22,IGLV2-8,IGLV3-25,IGKV1D-16,IGHV4-59,IGHM,FYN,IGLV1-40,VAV1,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,IGHV3-53,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,LYN,IGHV3-11,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,PTPN6,IGHV4-34,IGLV3-27,IGHD,IGHV3-13,IGHV1-69,IGHV3-33,PIK3AP1,IGKV2D-28","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS",67
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",9.75493707375559e-13,3.77190900185216e-11,0.910119734774459,0.888273984454335,1.60533167489908,125,"CD3G,CD247,PLCG2,IGKV1-39,FGR,IGHG2,IGKV1-16,IGLV6-57,IGHV1-46,IGHG4,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,IGKV1D-39,IGKV2D-40,IGHV2-5,IGKV1-33,IGHV3-7,HCK,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,IGLV2-8,GNG2,IGLV3-25,IGKV1D-16,IGHV4-59,FYN,IGLV1-40,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,IGHG1,IGHV3-53,DPEP2,GNGT2,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,IL10,LYN,CYSLTR2,IGHV3-11,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,IGHV4-34,IGLV3-27,ADCY4,IGHV3-13,IGHV1-69,IGHV3-33,DPEP1,FCGR1A","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTI INFLAMMATORY RESPONSE FAVOURING LEISHMANIA PARASITE INFECTION",69
"REACTOME_DOWNSTREAM_TCR_SIGNALING",2.71460592098547e-11,8.99697962383756e-10,0.863415391606693,0.907339777592053,1.6345281727912,85,"CD3E,CD3G,LCK,CD247,TRAT1,CD3D,TRBV7-9,HLA-DRA,TRAV29DV5,PRKCQ,INPP5D,HLA-DPA1,CARD11,CD4,TRAV8-4,HLA-DQB1,TRBV12-3,HLA-DPB1,TRAV19,HLA-DRB1,HLA-DQA1,HLA-DRB5,HLA-DQB2","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DOWNSTREAM TCR SIGNALING",23
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",4.11391684464967e-11,1.1930358849484e-09,0.851339057116899,0.918890043605269,1.65235159012001,73,"GZMM,IGKV1-39,IGHG2,IGKV1-16,IGLV6-57,IGHV1-46,IGHG4,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,IGKV1D-39,IGKV2D-40,IGHV2-5,C3,IGKV1-33,IGHV3-7,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,FCN1,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,IGLV2-8,IGLV3-25,IGKV1D-16,IGHV4-59,C2,C1QA,C1QB,IGLV1-40,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,IGHG1,IGHV3-53,C1QC,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,IGHV3-11,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,IGHV4-34,IGLV3-27,IGHV3-13,IGHV1-69,IGHV3-33","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INITIAL TRIGGERING OF COMPLEMENT",61
"REACTOME_COMPLEMENT_CASCADE",8.90131521818545e-11,2.29456125624336e-09,0.839088935621274,0.893242402025468,1.61095272651663,96,"CD19,GZMM,IGKV1-39,IGHG2,IGKV1-16,CR2,IGLV6-57,IGHV1-46,IGHG4,IGKV1-5,IGLV3-19,IGLV3-21,IGLC2,IGLV1-47,IGKV1D-39,IGKV2D-40,IGHV2-5,C3,IGKV1-33,IGHV3-7,IGKV3-11,IGHV3-23,IGLV2-14,IGHV2-70,IGKV1D-33,FCN1,IGKV3-20,IGHV3-48,IGKV3D-20,IGKV4-1,IGKV1D-12,IGLC3,IGKV3-15,IGLV2-8,CR1,C7,IGLV3-25,IGKV1D-16,IGHV4-59,C2,C1QA,C1QB,IGLV1-40,IGLV1-51,IGLV7-43,IGKV1-17,IGKV1-12,IGHG1,IGHV3-53,C1QC,IGKV2-28,IGLV2-23,IGLV1-44,IGKV5-2,IGHV3-11,IGHV3-30,IGHV4-39,IGHV1-2,IGLV2-11,IGKV2D-30,IGHV4-34,IGLV3-27,IGHV3-13,IGHV1-69,IGHV3-33,SERPING1,IGKV2D-28,C1R,C1S","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"COMPLEMENT CASCADE",69
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",1.02929599839442e-10,2.38796671627506e-09,0.839088935621274,0.81883796626785,1.47492780113926,241,"CD3E,CD3G,LCK,BTLA,CD247,PDCD1,CD3D,CTLA4,TRBV7-9,GRAP2,HLA-DRA,ICOS,PIK3CD,TRAV29DV5,HLA-DPA1,IRF1,CD4,TRAV8-4,HLA-DQB1,TRBV12-3,HLA-DPB1,PIK3CG,TRAV19,DERL3,PIK3R5,CD28,HLA-DRB1,HLA-DQA1,HLA-DRB5,HLA-DQB2,FYN,VAV1,PDCD1LG2,CD86,PIK3R6,LYN,CD274,PTPN6","Her2","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"REGULATION OF T CELL ACTIVATION BY CD28 FAMILY",38
