"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",1.42375680018698e-15,3.28887820843192e-13,1.01754479730988,0.916737312449246,1.44915044076413,168,"PRKCQ,ITK,IGLV1-47,IGHV4-34,GRAP2,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,IGLV3-19,IGKV1-17,LCP2,IGLV7-43,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,IGLV2-11,IGKV1D-16,IGKV1D-39,IGKV1-12,CARD11,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,IGKV1D-12,IGKV1D-33,IGKV1-33,RASGRP2,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,IGKV2D-30,IGHV1-2,IGLV2-8,IGHV1-69,TXK,IGLV1-44,BTK,VAV1,LYN,FCER1G,PLCG2,IGHV3-11,FYN","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"FC EPSILON RECEPTOR FCERI SIGNALING",65
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",1.94252023161513e-14,2.24361086751548e-12,0.97599468306432,0.917219059218208,1.45278162657182,150,"PRKCB,IGLV1-47,CD79A,IGHV4-34,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGHM,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,IGLV3-19,IGKV1-17,IGLV7-43,CD79B,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,PIK3CD,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,BLK,IGLV2-11,IGKV1D-16,IGKV1D-39,IGKV1-12,CARD11,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,CD19,IGKV1D-12,IGKV1D-33,IGKV1-33,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,IGKV2D-30,IGHV1-2,IGLV2-8,IGHV1-69,IGLV1-44,BTK,VAV1,LYN,PLCG2,IGHD,IGHV3-11,FYN,PIK3AP1","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY THE B CELL RECEPTOR BCR",67
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",3.45546861325129e-14,2.66071083220349e-12,0.965327754226083,0.950082813771957,1.51594969391902,84,"IGLV1-47,CD79A,IGHV4-34,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGHM,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,IGLV3-19,IGKV1-17,IGLV7-43,CD79B,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,PIK3CD,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,BLK,IGLV2-11,IGKV1D-16,IGKV1D-39,IGKV1-12,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,CD19,IGKV1D-12,IGKV1D-33,IGKV1-33,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,IGKV2D-30,IGHV1-2,IGLV2-8,IGHV1-69,IGLV1-44,BTK,VAV1,LYN,PLCG2,IGHD,IGHV3-11,FYN,PIK3AP1","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS",65
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",7.68326563840821e-14,4.43708590618074e-12,0.954541630725724,0.92661824045002,1.4706380246073,124,"CD247,CD3G,IGLV1-47,IGHV4-34,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,IGLV3-19,IGKV1-17,IGLV7-43,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,IGLV2-11,IGHG1,IGKV1D-16,IGKV1D-39,IGKV1-12,IGHG2,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,IGKV1D-12,IGKV1D-33,IGKV1-33,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,GNGT2,IGKV2D-30,IGHV1-2,IGLV2-8,FGR,IGHV1-69,IGLV1-44,LYN,FCGR1A,DPEP2,PLCG2,IGHV3-11,FYN,HCK,CYSLTR2,FCGR3A,IL10,CD163,FCGR2A","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTI INFLAMMATORY RESPONSE FAVOURING LEISHMANIA PARASITE INFECTION",69
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",1.65588637382204e-10,6.37516253921484e-09,0.826657301178302,0.942549266160941,1.50350326962925,72,"GZMM,IGLV1-47,IGHV4-34,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,C1QA,IGLV3-19,IGKV1-17,IGLV7-43,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,IGLV2-11,IGHG1,IGKV1D-16,C1QB,FCN1,IGKV1D-39,IGKV1-12,IGHG2,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,IGKV1D-12,IGKV1D-33,IGKV1-33,C1QC,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,IGKV2D-30,IGHV1-2,IGLV2-8,IGHV1-69,IGLV1-44,IGHV3-11,C2","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INITIAL TRIGGERING OF COMPLEMENT",60
"REACTOME_COMPLEMENT_CASCADE",1.41495905862508e-10,6.37516253921484e-09,0.826657301178302,0.928699767018527,1.48048528744472,94,"GZMM,IGLV1-47,IGHV4-34,IGHV3-30,IGLV1-40,IGKV2-30,IGLC3,IGLV3-21,IGHV3-13,IGLC2,IGLV3-25,IGKV1-5,IGKV3-15,C1QA,IGLV3-19,IGKV1-17,IGLV7-43,IGHV4-59,IGLV3-27,IGKV5-2,IGLV2-23,IGHV3-53,IGKV4-1,IGHV2-5,IGKV3-11,IGLV2-11,IGHG1,IGKV1D-16,C1QB,FCN1,IGKV1D-39,IGKV1-12,IGHG2,IGKV3-20,IGKV1-16,IGKV2-28,IGHV3-23,IGHV3-33,IGHV1-46,IGHV3-48,IGHV2-70,IGLV1-51,CD19,IGKV1D-12,IGKV1D-33,IGKV1-33,C1QC,IGKV1-39,IGKV2D-40,IGLV2-14,IGHV4-39,IGKV3D-20,IGHV3-7,IGLV6-57,IGKV2D-30,IGHV1-2,IGLV2-8,CR1,IGHV1-69,IGLV1-44,CR2,IGHV3-11,C2,C3AR1,SERPING1,C3","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"COMPLEMENT CASCADE",66
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",5.81759021521757e-10,1.9198047710218e-08,0.801215574617779,0.856873024080478,1.34988007169666,240,"CD247,CD3E,CD3D,LCK,CD3G,BTLA,PDCD1,TRBV7-9,GRAP2,CTLA4,TRAV8-4,ICOS,HLA-DRB1,PIK3CD,HLA-DPB1,TRAV29DV5,HLA-DRA,CD4,PDCD1LG2,IRF1,HLA-DQA1,CD28,HLA-DPA1,HLA-DRB5,HLA-DQB1,CD274,PIK3CG,VAV1,LYN,CD86,TRAV19,STAT1,HLA-DQB2,FYN,HLA-DQA2,PIK3R5,DERL3,CD80,PIK3R6","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"REGULATION OF T CELL ACTIVATION BY CD28 FAMILY",39
"REACTOME_TCR_SIGNALING",4.81845807834053e-09,1.34428148755241e-07,0.761460801445585,0.905144254951078,1.44103058981439,105,"CD247,CD3E,CD3D,LCK,PRKCQ,CD3G,ITK,TRAT1,ZAP70,TRBV7-9,GRAP2,TRAV8-4,WAS,PTPRC,LCP2,HLA-DRB1,HLA-DPB1,TRAV29DV5,HLA-DRA,CD4,CARD11,FYB1,INPP5D,PTPN22,HLA-DQA1,HLA-DPA1,HLA-DRB5,HLA-DQB1,TRAV19,PLCG2,HLA-DQB2,HLA-DQA2","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"TCR SIGNALING",32
"REACTOME_SIGNALING_BY_INTERLEUKINS",5.2374603411133e-09,1.34428148755241e-07,0.761460801445585,0.819170864503651,1.28675454742493,410,"LCK,CCL5,IL2RG,PTPN7,FASLG,IL18RAP,CCR5,IFNG,IL12RB1,IL18BP,IRF4,CCR2,IL12B,JAK3,IL7R,STAT4,IL2RA,TNFRSF1B,IL15RA,EBI3,IL21R,CSF2RB,IL10RA,IL2RB,PIK3CD,IGHG1,CCL19,CXCL10,CCL4,CD4,INPP5D,SOCS1,IL18R1,NLRC5,IL16,FCER2,IL32,VAV1,LYN,CD86,ITGB2,PTAFR,CSF2RA,LCP1,CCR1,STAT1,CASP1,FYN,IL1R2,ITGAX,IL27,HCK,IL34,HAVCR2,IL12RB2,STAT2,IL15,CD80,IL7,ALOX5,IL10,CSF1R,PSME2,CCL2,IL23A,LGALS9,IRAK3,VCAM1,CCL22,S100B,CCL11,MMP1,PTPN6,IL33,MMP3,CTSG,IL18,ITGAM,FPR1,NFKB2,IL22RA2,PIM1,TGFB1,IFNL1,STAT5A,OSM,JAK2,ADRM1,ICAM1,PSMA5,CCL3,USP18,PTPN2,S1PR1,POMC,IL6R,MAP3K3,MSN,IL1RL1,SYK,PTK2B,IL12A,BIRC5,NFKBIA,PSMA4,ANXA1,MEF2C,SOCS3,IL3RA,FGF2,H3C8,IFNLR1,HMOX1,PSMC5,IL4R,AGER,CNN2","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY INTERLEUKINS",117
"REACTOME_DOWNSTREAM_TCR_SIGNALING",9.73948327397247e-08,2.24982063628764e-06,0.704975715167238,0.908748013438065,1.4499959928247,84,"CD247,CD3E,CD3D,LCK,PRKCQ,CD3G,TRAT1,TRBV7-9,TRAV8-4,HLA-DRB1,HLA-DPB1,TRAV29DV5,HLA-DRA,CD4,CARD11,INPP5D,HLA-DQA1,HLA-DPA1,HLA-DRB5,HLA-DQB1,TRAV19,HLA-DQB2,HLA-DQA2","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DOWNSTREAM TCR SIGNALING",23
"REACTOME_SIGNALING_BY_GPCR",6.39436637829742e-06,0.000134281693944246,0.610526878385931,0.785113523660965,1.23303547646234,472,"CXCR3,CCL5,PRKCQ,CXCL9,CXCR6,CCR7,XCL2,XCL1,S1PR4,PRKCB,CCR5,CCR2,GPR18,WNT10A,CCL13,XCR1,CCL19,CXCL10,GPR55,CCL4,CCR4,RGS18,FGD2,CXCL11,RASGRP2,GNGT2,PTGER4,PLCB2,GPR183,P2RY6,ADGRE5,GPR15,BTK,PIK3CG,VAV1,PTAFR,UTS2,CCL17,PTGDR,PNOC,CCR1,GPR65,P2RY13,SUCNR1,CMKLR1,CCRL2,GPSM3,CCL4L2,ADGRE2,FPR3,P2RY14,CYSLTR2,CAMK4,PIK3R5,CCR8,GPR84,C3AR1,PIK3R6,GPBAR1,C3,RGS19,PLA2G4A,CCL2,S1PR2,ARRB2,LPAR5,CCL7,CCL22,GHRL,HRH2,CCL21,CCL11,GPR132,GNG2,P2RY10,MMP3,ACKR1,WNT2,P2RY12,CXCR4,PTH2R,PDE3B,ADCY7,FPR1,C5AR1,GRK5,TACR1,CX3CL1,RGS1,RAMP3","LumB","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY GPCR",90
