"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_INTERLEUKINS",1.80560510480198e-18,4.24317199628466e-16,1.10533657731401,0.681079843164281,1.97773983240071,405,"STAT4,LCK,CSF2RB,IL10RA,IL12RB1,IL16,JAK3,FCER2,STAT1,IL21R,PTPN7,CCR5,IL18R1,IGHG1,CSF2RA,TNFRSF1B,IRF4,PIK3CD,ITGB2,IGHG4,CCL5,VAV1,IFNG,IL18BP,CCR2,IL2RA,IL7R,IL12RB2,LCP1,IL12B,NLRC5,CD80,CD4,ITGAM,IL2RG,IL18RAP,FASLG,SYK,FYN,MMP9,MYD88,CCR1,CASP8,CD86,ITGAX,IL32,PTPN6,PTK2B,VCAM1,PIM1,MAP3K8,LGALS9,CCL3,IRAK2,CXCL10,SOCS3,STAT2,CCL4,EBI3,PTAFR,HMOX1,IL2RB,CXCL1,HAVCR2,LYN,IL7,IL6,F13A1,USP18,OSM,SOX2,FPR1,CASP1,CCL3L3,HCK,RAPGEF1,CCL22,NFKB2,IL15,IKBKG,IL23A,IL1RN,IL6R,PTGS2,IL15RA,CASP3,PSMD7,CSF3R,ALOX5,CCL20,CTSG,IL10,IRAK4,TNF,IL18,VIM,JAK2,CCL19,IGHE,INPP5D,NOD2,IRAK3,ICAM1,S1PR1,CDKN1A,CHUK,PSMD2,TGFB1,IL33,FSCN1,IRAK1,CLCF1,IL24,PTPN12,IL27,CXCL8,MSN,MAP3K3,MCL1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY INTERLEUKINS",119
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",4.02041233028321e-16,4.72398448808277e-14,1.03769615548758,0.788247694859034,2.17400085169192,151,"PRKCB,CD79A,CD19,CARD11,BLK,BTK,CD22,PIK3AP1,PIK3CD,VAV1,SYK,FYN,IGHV4-39,CD79B,PTPN6,IGLV3-27,NFATC2,IGLV3-19,IGHV2-5,IGHV3-7,IGLV3-21,IGHV4-34,IGKV2D-40,IGKV4-1,IGKV3-15,IGKV3-20,IGLV1-47,IGHV1-69,IGLV2-14,IGHV3-48,IGHV3-30,SH3KBP1,NFATC1,IGLV1-40,LYN,DAPP1,IGLV2-23,IGHV3-11,IGHM,IGLC2,IGLV1-44,IGHV2-70,IGKV1-5,IGHV3-33,IGHV3-13,IGLC3,PLCG2,IGLV6-57,IGHD,IGLV3-25,ITPR3,IKBKG,IGHV4-59,MALT1,IGKV1-17,REL,PSMD7,IGKV1-39,IGKV1D-39,RASGRP1,IGHV3-53,IGKV1-12,IGHV1-46,IGKV1-33,IGKV1D-16,CHUK,PSMD2,IGKV2-28,IGHV3-23,NFKBIE,RASGRP3,IGKV3-11","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY THE B CELL RECEPTOR BCR",72
"REACTOME_TCR_SIGNALING",3.25232125629778e-14,2.54765165076659e-12,0.965327754226083,0.818070070290446,2.17482537514534,105,"GRAP2,ITK,CD3G,TRAT1,LCK,TRBV7-9,PTPRC,TRAV19,TRAV29DV5,CD3E,CARD11,PRKCQ,ZAP70,CD3D,TRAV8-4,PAG1,FYB1,CD247,WAS,HLA-DQA1,HLA-DPB1,HLA-DRA,LCP2,CD4,HLA-DRB1,HLA-DQB1,HLA-DQA2,PTPN22,HLA-DRB5,HLA-DPA1,CSK,HLA-DQB2,PLCG2,IKBKG,MALT1,PSMD7,INPP5D,UBE2D1,CHUK,PSMD2,PTPRJ","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"TCR SIGNALING",41
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",5.69351009277495e-14,3.34493717950528e-12,0.954541630725724,0.845147638505502,2.19476708673391,85,"CD79A,CD19,BLK,BTK,CD22,PIK3AP1,PIK3CD,VAV1,SYK,FYN,IGHV4-39,CD79B,PTPN6,IGLV3-27,IGLV3-19,IGHV2-5,IGHV3-7,IGLV3-21,IGHV4-34,IGKV2D-40,IGKV4-1,IGKV3-15,IGKV3-20,IGLV1-47,IGHV1-69,IGLV2-14,IGHV3-48,IGHV3-30,SH3KBP1,IGLV1-40,LYN,DAPP1,IGLV2-23,IGHV3-11,IGHM,IGLC2,IGLV1-44,IGHV2-70,IGKV1-5,IGHV3-33,IGHV3-13,IGLC3,PLCG2,IGLV6-57,IGHD,IGLV3-25,ITPR3,IGHV4-59,IGKV1-17,IGKV1-39,IGKV1D-39,IGHV3-53,IGKV1-12,IGHV1-46,IGKV1-33,IGKV1D-16,IGKV2-28,IGHV3-23,IGKV3-11","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS",59
"REACTOME_COMPLEMENT_CASCADE",1.43692475406979e-13,5.62795528677335e-12,0.943632225232838,0.818598826509375,2.16052389086951,97,"CR1,CR2,CD19,IGHG1,IGHG4,C5AR1,IGHG2,GZMM,IGHV4-39,IGLV3-27,IGLV3-19,IGHV2-5,IGHV3-7,IGLV3-21,IGHV4-34,IGKV2D-40,FCN1,C2,IGKV4-1,IGKV3-15,IGKV3-20,IGLV1-47,IGHV1-69,C1QA,IGLV2-14,IGHV3-48,C1S,IGHV3-30,IGLV1-40,IGLV2-23,IGHV3-11,C1R,IGLC2,IGLV1-44,IGHV2-70,IGKV1-5,IGHV3-33,CFH,IGHV3-13,IGLC3,C1QB,C1QC,IGLV6-57,IGLV3-25,C4BPB,CFB,C3AR1,C6,C3,IGHV4-59,IGKV1-17,IGKV1-39,IGKV1D-39,IGHV3-53,IGKV1-12,IGHV1-46,IGKV1-33,IGKV1D-16,IGKV2-28,IGHV3-23,IGKV3-11","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"COMPLEMENT CASCADE",61
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",1.36829559702194e-13,5.62795528677335e-12,0.943632225232838,0.788515971442514,2.13485715003133,124,"CD3G,DPEP2,IGHG1,FGR,IGHG4,CD247,IGHG2,SYK,FYN,CD163,IGHV4-39,IGLV3-27,IGLV3-19,CYSLTR1,IGHV2-5,IGHV3-7,IGLV3-21,IGHV4-34,IGKV2D-40,IGKV4-1,IGKV3-15,IGKV3-20,IGLV1-47,IGHV1-69,IGLV2-14,IGHV3-48,IGHV3-30,FCGR3A,IGLV1-40,LYN,IL6,IGLV2-23,IGHV3-11,GNGT2,ADCY7,IGLC2,IGLV1-44,IGHV2-70,IGKV1-5,IGHV3-33,IGHV3-13,HCK,IGLC3,PLCG2,IGLV6-57,FCGR1A,IGLV3-25,ITPR3,RHBDF2,FCGR2A,IGHV4-59,IGKV1-17,IGKV1-39,IGKV1D-39,IL10,IGHV3-53,IGKV1-12,IGHV1-46,CYSLTR2,IGKV1-33,GNG2,IGKV1D-16,GNAI2,DPEP1,IGKV2-28,IGHV3-23,IGKV3-11","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTI INFLAMMATORY RESPONSE FAVOURING LEISHMANIA PARASITE INFECTION",67
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",4.51283057568347e-13,1.51502169326516e-11,0.932595211336209,0.849997856707309,2.17101661834496,73,"IGHG1,IGHG4,IGHG2,GZMM,IGHV4-39,IGLV3-27,IGLV3-19,IGHV2-5,IGHV3-7,IGLV3-21,IGHV4-34,IGKV2D-40,FCN1,C2,IGKV4-1,IGKV3-15,IGKV3-20,IGLV1-47,IGHV1-69,C1QA,IGLV2-14,IGHV3-48,C1S,IGHV3-30,IGLV1-40,IGLV2-23,IGHV3-11,C1R,IGLC2,IGLV1-44,IGHV2-70,IGKV1-5,IGHV3-33,IGHV3-13,IGLC3,C1QB,C1QC,IGLV6-57,IGLV3-25,CFB,C3,IGHV4-59,IGKV1-17,IGKV1-39,IGKV1D-39,IGHV3-53,IGKV1-12,IGHV1-46,IGKV1-33,IGKV1D-16,IGKV2-28,IGHV3-23,IGKV3-11","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"INITIAL TRIGGERING OF COMPLEMENT",53
"REACTOME_INTERFERON_SIGNALING",2.07005462165491e-12,6.08078545111129e-11,0.898671232061694,0.68286127636849,1.95130822397515,261,"GBP1,GBP5,STAT1,SP100,CIITA,IRF4,XAF1,IFNG,HLA-DQA1,HLA-DPB1,HLA-DRA,IFI44,SAMHD1,IRF8,TRIM22,TRIM38,GBP4,IFI30,IRF1,RIGI,HLA-DRB1,MX2,PTPN6,HLA-DQB1,B2M,VCAM1,PIM1,IFI44L,OAS2,GBP3,IRF5,RSAD2,HLA-DQA2,SOCS3,STAT2,HLA-F,PTAFR,OAS3,HLA-E,EIF2AK2,HLA-DRB5,IFIT2,IFIH1,HLA-DPA1,USP18,HLA-DQB2,IFIT3,IRF9,IFNAR2,HERC5,CASP1,TRIM21,HLA-B,FCGR1A,IFIT5,ADAR,HLA-C,UBA7,IKBKG,TRIM14,OASL,MX1,NUP210,TUBA1B,UBE2L6,JAK2,FANCA,NUP42,HLA-A,ICAM1,CHUK,PTPN1,NUP93,ISG20,TUBA1C","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON SIGNALING",75
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",5.49460334775011e-12,1.43470198524586e-10,0.887074988399873,0.69024071460143,1.96143439880494,236,"GRAP2,CD3G,LCK,BTLA,ICOS,TRBV7-9,PDCD1LG2,CD28,STAT1,TRAV19,TRAV29DV5,CD3E,PIK3R5,PIK3CD,CD3D,TRAV8-4,PDCD1,CD247,VAV1,HLA-DQA1,HLA-DPB1,HLA-DRA,CD80,CD4,CTLA4,FYN,IRF1,CD86,HLA-DRB1,CD274,PTPN6,HLA-DQB1,MAP3K8,HLA-DQA2,HLA-DRB5,LYN,PIK3R6,HLA-DPA1,CSK,HLA-DQB2,MYCN,EPAS1,NFKB2,DERL3","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"REGULATION OF T CELL ACTIVATION BY CD28 FAMILY",44
"REACTOME_INTERFERON_GAMMA_SIGNALING",3.65252334830404e-11,8.58342986851449e-10,0.851339057116899,0.807058996812389,2.1075535637941,89,"GBP1,GBP5,STAT1,SP100,CIITA,IRF4,IFNG,HLA-DQA1,HLA-DPB1,HLA-DRA,IRF8,TRIM22,TRIM38,GBP4,IFI30,IRF1,HLA-DRB1,PTPN6,HLA-DQB1,B2M,VCAM1,OAS2,GBP3,IRF5,HLA-DQA2,SOCS3,HLA-F,PTAFR,OAS3,HLA-E,HLA-DRB5,HLA-DPA1,HLA-DQB2,IRF9,TRIM21,HLA-B,FCGR1A,HLA-C,TRIM14,OASL,JAK2,HLA-A,ICAM1,PTPN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON GAMMA SIGNALING",44
